ID,Title,"Tokyo FESTIVALの分類",WEBサイトのアドレス,概要,対象,会場(投稿),会場の所属する自治体,会場の存在する自治体名,主催,協賛,協力,後援,申請自治体,開催年度,"単日/複数日 - 期間",開催時間,開催日数（展覧会・公演）,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,料金,出演者数／出展アーティスト数／登壇者数等,出演者数／出展アーティスト数／登壇者数等（外国人）,ジャンル,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,多言語対応（例）音声ガイドの多言語化,多言語対応（例）キャプション・字幕の多言語化,多言語対応（例）その他の多言語化,多言語対応（例）その他の多言語化（内容）,バリアフリー対応の有無,バリアフリー対応策（例）,バリアフリー対応策（例）その他,組織委員会の認証の有無,画像等データの有無,画像,動画URL,関連プログラム名,決算額_year,決算額_price,期間_date,期間_date_to,単日/複数日_date,国_country,国_num
3019,"旅するヨーロッパ 1）3 歳～ 4 歳",1,http://www.t-bunka.jp/stage/host_10338.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月2日（土）（1）10：00～
会場：文京シビックセンター多目的室
入場者数（人）：（1）38
入場料金等（円）：参加料　500円
内容：
ワークショップ‐8「旅するヨーロッパ」
出演：東京文化会館ワークショップ・リーダー（桜井しおり、野口綾子）
対象：（1）3～4歳",子供向け,"文京シビックセンター - 多目的室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""11:00:00"";s:10:""time_bikou"";s:8:""3～4歳"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""38"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",2,,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171202
3020,"旅するヨーロッパ 2）5 歳～ 6 歳",1,http://www.t-bunka.jp/stage/host_10338.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月2日（土）（2）11：30～
会場：文京シビックセンター多目的室
入場者数（人）：（2）38
入場料金等（円）：参加料　500円
内容：
ワークショップ‐8「旅するヨーロッパ」
出演：東京文化会館ワークショップ・リーダー（桜井しおり、野口綾子）
対象：（2）5～6歳（未就学児）",子供向け,"文京シビックセンター - 多目的室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:8:""12:30:00"";s:10:""time_bikou"";s:26:""5～6歳（未就学児）"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""38"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",2,,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171202
3021,リズミカル・キッチン,1,http://www.t-bunka.jp/stage/host_10340.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月2日（土）14：30～
会場：文京シビックセンター多目的室
入場者数（人）：23
入場料金等（円）：参加料　500円
内容：
ワークショップ‐9「リズミカル・キッチン」
出演：東京文化会館ワークショップ・リーダー（桜井しおり、たかせみお）
対象：一般（未就学児不可）",子供向け,"文京シビックセンター - 多目的室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:8:""15:30:00"";s:10:""time_bikou"";s:36:""一般（未就学児入場不可）"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""23"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",2,,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171202
3022,"ライオン・ビート 1）6 ヶ月～18ヶ月",1,http://www.t-bunka.jp/stage/host_10341.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月2日（土）（1）10：00～
会場：東京文化会館リハーサル室
入場者数（人）：（1）37
入場料金等（円）：参加料　500円
内容：
ワークショップ‐10「ライオン・ビート」
出演：東京文化会館ワークショップ・リーダー（坂本夏樹）、
カーザ・ダ・ムジカワークショップ・リーダー（[ポルトガル]ブルーノ･エスティマ、[ポルトガル]パウロ･ネート）
対象：（1）6～18ヶ月",子供向け,"東京文化会館 - リハーサル室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""11:00:00"";s:10:""time_bikou"";s:12:""6～18ヶ月"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""37"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",3,2,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171202
3023,"ライオン・ビート 2）19ヶ月～35ヶ月",1,http://www.t-bunka.jp/stage/host_10341.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月2日（土）（2）11：30～
会場：東京文化会館リハーサル室
入場者数（人）：（2）39
入場料金等（円）：参加料　500円
内容：
ワークショップ‐10「ライオン・ビート」
出演：東京文化会館ワークショップ・リーダー（坂本夏樹）、
カーザ・ダ・ムジカワークショップ・リーダー（[ポルトガル]ブルーノ･エスティマ、[ポルトガル]パウロ･ネート）
対象：（2）19～35ヶ月",子供向け,"東京文化会館 - リハーサル室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:8:""12:30:00"";s:10:""time_bikou"";s:13:""19～35ヶ月"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""39"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",3,2,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171202
3024,"One Day コーラス",1,http://www.t-bunka.jp/stage/host_10342.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月2日（土）10：30～
会場：東京文化会館小ホール
入場者数（人）：31
入場料金等（円）：参加料　500円
内容：
ワークショップ‐11「OneDayコーラス」
出演：カーザ・ダ・ムジカワークショップ・リーダー（[ポルトガル]ジョルジュ･プレンダス、[ポルトガル]ジョアナ･アラウージョ、[ポルトガル]ジョルジュ･ケイジョ）
対象：一般（未就学児不可）",子供向け,"東京文化会館 - 小ホール",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""12:00:00"";s:10:""time_bikou"";s:36:""一般（未就学児入場不可）"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""31"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",3,3,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171202
3025,"はじめましてクラシック～ヴァイオリン＆ピアノ 1）19 ヶ月～35ヶ月",1,http://www.t-bunka.jp/stage/host_10343.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月3日（日）（1）10：00～
会場：文京シビックセンター多目的室
入場者数（人）：（1）52
入場料金等（円）：参加料　500円
内容：
ワークショップ‐12「はじめましてクラシック～ヴァイオリン＆ピアノ」
出演：東京文化会館ワークショップ・リーダー（たかせみお）
ヴァイオリン：瀧村依里他
対象：（1）19～35ヶ月",子供向け,"文京シビックセンター - 多目的室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""11:00:00"";s:10:""time_bikou"";s:13:""19～35ヶ月"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""52"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",2,,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171203
3026,"はじめましてクラシック～ヴァイオリン＆ピアノ 2）6 ヶ月～18ヶ月",1,http://www.t-bunka.jp/stage/host_10343.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月3日（日）（2）11：30～
会場：文京シビックセンター多目的室
入場者数（人）：（2）58
入場料金等（円）：参加料　500円
内容：
ワークショップ‐12「はじめましてクラシック～ヴァイオリン＆ピアノ」
出演：東京文化会館ワークショップ・リーダー（たかせみお）
ヴァイオリン：瀧村依里他
対象：（2）6～18ヶ月",子供向け,"文京シビックセンター - 多目的室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:8:""12:30:00"";s:10:""time_bikou"";s:12:""6～18ヶ月"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""58"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",2,,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171203
3027,"タネまき、タネまき、大きくなあれ！ 1）19ヶ月～35ヶ月",1,http://www.t-bunka.jp/stage/host_10344.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月3日（日）（1）10：30～
会場：東京文化会館リハーサル室
入場者数（人）：（1）36
入場料金等（円）：参加料　500円
内容：
ワークショップ‐13「タネまき、タネまき、大きくなあれ！」
出演：東京文化会館ワークショップ・リーダー（高田有香子、吉澤延隆）
対象：（1）19～35ヶ月
",子供向け,"東京文化会館 - リハーサル室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""11:00:00"";s:10:""time_bikou"";s:13:""19～35ヶ月"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""36"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",2,,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171203
3028,"タネまき、タネまき、大きくなあれ！  2） 3歳～4歳",1,http://www.t-bunka.jp/stage/host_10344.html,"事業名：ミュージック・ワークショップ・フェスタ〈冬〉
日時：平成29年12月3日（日）（2）12：00～
会場：東京文化会館リハーサル室
入場者数（人）：（2）30
入場料金等（円）：参加料　500円
内容：
ワークショップ‐13「タネまき、タネまき、大きくなあれ！」
出演：東京文化会館ワークショップ・リーダー（高田有香子、吉澤延隆）
対象：（2）3～4歳
",子供向け,"東京文化会館 - リハーサル室",,,東京都|東京文化会館|アーツカウンシル東京,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団|株式会社ヤマハミュージックジャパン,ポルトガル大使館|台東区教育委員会,,2017,2017,,単日/複数日,,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""12:00:00"";s:7:""time_to"";s:8:""13:00:00"";s:10:""time_bikou"";s:8:""3～4歳"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""30"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:39:""<p>料金（税込）<br />
500円</p>
"";}",2,,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,20171203
