ID,Title,"Tokyo FESTIVALの分類",WEBサイトのアドレス,概要,対象,会場(投稿),会場の所属する自治体,会場の存在する自治体名,主催,協賛,協力,後援,申請自治体,開催年度,"単日/複数日 - 期間",開催時間,開催日数（展覧会・公演）,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,料金,出演者数／出展アーティスト数／登壇者数等,出演者数／出展アーティスト数／登壇者数等（外国人）,ジャンル,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,多言語対応（例）音声ガイドの多言語化,多言語対応（例）キャプション・字幕の多言語化,多言語対応（例）その他の多言語化,多言語対応（例）その他の多言語化（内容）,バリアフリー対応の有無,バリアフリー対応策（例）,バリアフリー対応策（例）その他,組織委員会の認証の有無,画像等データの有無,画像,動画URL,関連プログラム名,決算額_year,決算額_price,期間_date,期間_date_to,単日/複数日_date,国_country,国_num
4507,"実践講座 アクセス",1,,"実践講座（6月以降各講座ごとに適宜実施）　
活動の基本となる3つの柱に則した、より実践的な3種類の講座。各講座は外部の専門家や学芸員が担当、実際の現場で気付いた疑問なども振り返りながら、活動への理解を深め、コミュニケーション・スキルを高めていく。

[開催期間・開催日]7月2日、9日、9月17日、10月1日、22日、12月3日、2018年2月18日、いずれも日曜日　全8回
[参加者]
アート・コミュニケータ：396人
一般：60人
[内容]
アクセス実践講座（ヒトと人を考える）
講師：岩井成昭（秋田公立美術大学）、小澤いぶき（NPO法人PIECES）、熊谷晋一郎（東京大学先端科学技術研究センター准教授）、舘野泰一（立教大学経営学部助教）、
　　　林建太･木下路徳（視覚障害者とつくる美術鑑賞ワークショップ）、林容子（一般社団法人アーツアライブ）、松見幸太郎（NPO法人キッズドア）、伊藤、稲庭、菅井

",,東京都美術館,,,東京都美術館,,,,,2017,2017,,単日/複数日,"20170702,20170709,20170917,20171001,20171022,20171203,20180218","a:1:{s:4:""time"";b:0;}",7,8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""456"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",11,,人材育成事業,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
4508,"B.［コラボラティヴ・カタロギング・ジャパン（CCJ）共催企画］ 国際連携シンポジウム タイムベースド・メディアの収集保存 ―― ニューヨーク近代美術館、アンソロジー・フィルム・ アーカイヴス、東京都写真美術館の事例から",1,https://www.yebizo.com/jp/program/detail/2018-05-02,"B.［ コラボラティヴ・カタロギング・ジャパン
（CCJ）共催企画］国際連携シンポジウム タイムベースド・メディアの収集保存─ニューヨーク近代美術館、アンソロジー・フィルム・アーカイ
ヴス、東京都写真美術館の事例から（パネリスト：ジョン・クラックスマン、ピーター・オレクシク、田中信至、足立アン）

映像作品、コンピューターアート、パフォーマンスなど時間体験に基づく芸術作品を指す「タイムベースド・メディア」の保存が注目されている。アメリカを拠点に日本の実験映像作品の記録・保存・情報提供をおこなうコラボラティヴ・カタロギング・ジャパン（CCJ）との共催で、アーキヴィスト、技術者の最新の実践と対話をとおして、今日的課題を考察する。※日英同時通訳付

助成：公益財団法人テルモ生命科学芸術財団",,"東京都写真美術館 - 1F ホール",,,東京都|アーツカウンシル東京|日本経済新聞社,"全日本空輸株式会社|ゲーテ・インスティトゥート 東京ドイツ文化センター|サッポロビール株式会社|東京都写真美術館支援会員",アンスティチュ・フランセ日本−ヴィラ九条山|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社ロボット,"オーストラリア大使館|オランダ王国大使館|カナダ大使館|タイ王国大使館|ミャンマー連邦共和国大使館|ＴＢＳ|J-WAVE 81.3FM",,2017,2017,,単日/複数日,20180210,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:45:""<p>￥350（前売） ￥600（当日）</p>
"";}",4,2,講演会・シンポジウム,有り,英語,,,英語,英語通訳あり,有り,バリアフリー対応施設,,,あり・チラシ画像,,,,アメリカ,2,,
4509,"C.［日仏会館共催企画］ 映像のヴィジブル／インヴィジブル ――8K映像の可能性",1,https://www.yebizo.com/jp/program/detail/2018-05-03,"C.［日仏会館共催企画］映像のヴィジブル／インヴィジブル─8K映像の可能性（パネリスト：落合淳、三浦篤、矢野数馬、原田大三郎）

8K映像とは、フルハイビジョン映像の16倍の解像度をもつ最新の映像規格である。すでに8Kモニターの販売も開始され、2018年12月には8Kの本放送開始も予定されている。8K映像は我々に身近なものとなりつつある。映像技術の進展と共に、映像は我々に何を見えるようにし、あるいは見えなくするのだろうか。8K映像の技術や表現の現状と今後の可能性を、多様な視点から探っていく。",,"日仏会館 - ホール（日仏会館ホール）",,,東京都|アーツカウンシル東京|日本経済新聞社,"全日本空輸株式会社|ゲーテ・インスティトゥート 東京ドイツ文化センター|サッポロビール株式会社|東京都写真美術館支援会員",アンスティチュ・フランセ日本−ヴィラ九条山|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社ロボット,"オーストラリア大使館|オランダ王国大使館|カナダ大使館|タイ王国大使館|ミャンマー連邦共和国大使館|ＴＢＳ|J-WAVE 81.3FM",,2017,2017,,単日/複数日,20180215,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:45:""<p>￥350（前売） ￥600（当日）</p>
"";}",4,,講演会・シンポジウム,有り,英語,,,,,有り,バリアフリー対応施設,,,あり・チラシ画像,,,,,,,
4510,ドラゴンの人形,1,,"体験しよう！ワークショップ

ドラゴンの人形を作ろう
人形劇団プークのレパートリー「ピンクのドラゴン」より、ドラゴンの人形を作って動かすワークショップ。",子供向け,"たましんRISURUホール（立川市民会館） - 地下サブホール",,,参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,,,立川市|立川市教育委員会,,2016,2016,,単日/複数日,20170305,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""12:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:260:""<p>料金：1,500円<br />
定員 30名<br />
3才～小学生（未就学児は親子で参加）</p>
<p>ワークショップ参加費<br />
1回：1,500円<br />
セット割引：2回 2,800円、3回 3,900円<br />
（申込・問合せは事務局）</p>
"";}",1,,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像|あり・その他画像,,,,,,,
4511,"実践講座 建築",1,,"実践講座（6月以降各講座ごとに適宜実施）　
活動の基本となる3つの柱に則した、より実践的な3種類の講座。各講座は外部の専門家や学芸員が担当、実際の現場で気付いた疑問なども振り返りながら、活動への理解を深め、コミュニケーション・スキルを高めていく。

[開催期間・開催日]7月22日(土)、29日(土)、8月26日(土)、10月7日(土)、12月9日(土)、2018年2月10日(土)、17日(日)　全8回
[参加者]
アート・コミュニケータ：224人
開扉とびラー：25人
[内容]
映像視聴：1回（参加者数：アート・コミュニケータ 1人）
建築実践講座（ハコと人を考える）
講師：藤原徹平（建築家・横浜国立大学大学院准教授）、倉方俊輔（建築史家・大阪市立大学准教授）、伊藤香織（東京理科大学教授）、大谷、河野
",,東京都美術館,,,東京都美術館,,,,,2017,2017,,単日/複数日,"20170722,20170729,20170826,20171007,20171209,20180210,20180217","a:1:{s:4:""time"";b:0;}",7,9,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""250"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",5,,人材育成事業,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
4512,まいごのこねこ,1,,"体験しよう！ワークショップ

親子で劇ごっこ「まいごのこねこ」
身近なもので劇遊びを行う体験ワークショップ。ママは、見つかるかな？

出演団体：劇団風の子",子供向け,"たましんRISURUホール（立川市民会館） - ギャラリー（3F)",,,参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,,,立川市|立川市教育委員会,,2016,2016,,単日/複数日,20170305,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:00:00"";s:7:""time_to"";s:8:""12:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:263:""<p>料金：1,500円(追加一人500円)<br />
定員 親子20組<br />
対象年齢：0～3才親子</p>
<p>ワークショップ参加費<br />
1回：1,500円<br />
セット割引：2回 2,800円、3回 3,900円<br />
（申込・問合せは事務局）</p>
"";}",1,,演劇（ミュージカル等を含む）|芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像|あり・その他画像,,,,,,,
4514,"I. mamoru ライヴ・パフォーマンス：あり得た（る）かもしれないその歴史を聴き取ろうとし続けるある種の長い旅路、特に日本人やオランダ人その他もろもろに関して",1,https://www.yebizo.com/jp/program/detail/2018-08-01,"I. mamoru ライヴ・パフォーマンス：あり得た（る）かもしれないその歴史を聴き取ろうとし続けるある種の長い旅路、特に日本人やオランダ人その他もろもろに関して（出演：mamoru、河合真人、So Oishi、チュン・チーイー）

1669年にオランダで出版された一冊の本に描かれた「日本」を出発点に、インドネシア他の土地をめぐり、そこに残響する「あり得た（る）かもしれない」複数の歴史を断章としてたどる「ある種の長い旅路」。アーティストmamoruが各地でめぐりあった、多様な背景を持つ人々との協働をもとに紡がれる音、映像、そして言葉。見えない時空の連なりが、刹那に像を結ぶ一夜のライヴ。",,"恵比寿ガーデンプレイス - ザ・ガーデンホール/ルーム",,,東京都|アーツカウンシル東京|日本経済新聞社,"全日本空輸株式会社|ゲーテ・インスティトゥート 東京ドイツ文化センター|サッポロビール株式会社|東京都写真美術館支援会員",アンスティチュ・フランセ日本−ヴィラ九条山|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社ロボット,"オーストラリア大使館|オランダ王国大使館|カナダ大使館|タイ王国大使館|ミャンマー連邦共和国大使館|ＴＢＳ|J-WAVE 81.3FM",,2017,2017,,単日/複数日,20180223,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:49:""<p>￥1,500（前売） ￥2,000（当日）</p>
"";}",4,1,イベント,有り,英語,,,,,有り,バリアフリー対応施設,,なし,あり・チラシ画像,,,,台湾,1,,
4515,"Ⅱ. エクスパンデッド・シネマ・パフォーマンス：Beyond the Frame",1,https://www.yebizo.com/jp/program/detail/2018-08-02,"Ⅱ. エクスパンデッド・シネマ・パフォーマンス：Beyond the Frame（出演：宮井陸郎、大城真、平沢剛）

1960年代から70年代を中心に活発化するエクスパンデッド・シネマは、映像本来のあり方を問いかけながら、既存の枠を超えて、様々な新しい映像体験をうみだしてきた。日本のエクスパンデッド・シネマの上映企画を近年積極的に行なっている平沢剛氏とジュリアン・ロス氏との協働で、エクスパンデッド・シネマの代表作を再現すると同時に、音楽家・美術家、大城真による現代の試みをくわえた、究極の実験ライヴ。

上演作品 ポール・シャリッツ《ドリーム・ディスプレイスメント》(<wbr />1976)、大城真《ストリングス》(2014)、宮井陸郎《時代精神の現象学》(<wbr />1968)、《シャドウ》(1967)パフォーマンス 宮井陸郎［映像作家］、大城真［音楽家、美術家］
＊パフォーマンス後に宮井陸郎と平沢剛によるトークがあります。
協力 アンソロジー・フィルム・アーカイヴス",,"恵比寿ガーデンプレイス - ザ・ガーデンホール/ルーム",,,東京都|アーツカウンシル東京|日本経済新聞社,"全日本空輸株式会社|ゲーテ・インスティトゥート 東京ドイツ文化センター|サッポロビール株式会社|東京都写真美術館支援会員",アンソロジー・フィルム・アーカイヴス|アンスティチュ・フランセ日本−ヴィラ九条山|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社ロボット,"オーストラリア大使館|オランダ王国大使館|カナダ大使館|タイ王国大使館|ミャンマー連邦共和国大使館|ＴＢＳ|J-WAVE 81.3FM",,2017,2017,,単日/複数日,20180224,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:49:""<p>￥1,500（前売） ￥2,000（当日）</p>
"";}",4,1,イベント,有り,英語,,,,,有り,バリアフリー対応施設,,なし,あり・チラシ画像,,,,アメリカ,1,,
4516,マチノヒ,1,,"舞台公演　マチノヒ

ミュージカル女優の王子菜摘子、クラウンのびり＆ブッチィー、おもしろ音楽家タカパーチによるノンバーバル・ライブ・コメディー。
諦めかけていた夢、絶対に譲れない夢。愛する事と、愛される事。唄う事が大好きな娘と、二人の道化師とおもしろ音楽家が、生演奏でお届けするミュージカルパフォーマンス。

出演団体：蒼い企画",子供向け,"文京シビックホール - 小ホール（2F)",,,参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,,,文京区|文京区教育委員会,,2016,2016,,単日/複数日,20170312,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:335:""<p>前売：2,500円<br />
全席自由</p>
<p>料金：３才以上有料（税込）<br />
当日料金はすべて300円増</p>
<p>割引：<br />
【公演】<br />
①一人が3公演以上申込の場合は、1公演を2,000円（3公演なら6,000円）<br />
②団体割引は、出演団体に申し込み問い合わせ</p>
"";}",4,,演劇（ミュージカル等を含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像|あり・その他画像,,,,,,,
4518,3匹のこぶた,1,,"舞台公演　３びきのこぶた

しのざきあきテーブル人形劇
こぶたのなかよし兄弟のテーブルの上の、小さくてとびきりゆかいな人形劇。アコーディオンと、おもちゃの楽器の生演奏も魅力。同時上演は「ゆめうりふくろう」。

出演団体：人形劇団ひとみ座",子供向け,"文京シビックホール - 多目的室（B1F)",,,参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,,,文京区|文京区教育委員会,,2016,2016,,単日/複数日,20170312,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:00:00"";s:7:""time_to"";s:8:""11:45:00"";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:391:""<p>料金：2,000円<br />
おやこ券：3，000円<br />
（追加：大人2，000円、3才～小学生1，000円)<br />
全席自由<br />
※多目的室公演は当日券なし</p>
<p>割引：<br />
【公演】<br />
①一人で3公演以上申込の場合は、1公演を2,000円（3公演なら6,000円）<br />
②団体割引は、出演団体に申し込み問い合わせ</p>
"";}",1,,演劇（ミュージカル等を含む）|コンサート（ポップス等）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像|あり・その他画像,,,,,,,
