"name","slug","description","TERMID","municilality","municipality_name"
"台東区立田原小学校","%e5%8f%b0%e6%9d%b1%e5%8c%ba%e7%ab%8b%e7%94%b0%e5%8e%9f%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"343",,
"世田谷区立八幡小学校","%e4%b8%96%e7%94%b0%e8%b0%b7%e5%8c%ba%e7%ab%8b%e5%85%ab%e5%b9%a1%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"344",,
"台東区立松葉小学校","%e5%8f%b0%e6%9d%b1%e5%8c%ba%e7%ab%8b%e6%9d%be%e8%91%89%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"345",,
"台東区立東泉小学校","%e5%8f%b0%e6%9d%b1%e5%8c%ba%e7%ab%8b%e6%9d%b1%e6%b3%89%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"346",,
"清瀬市立芝山小学校","%e6%b8%85%e7%80%ac%e5%b8%82%e7%ab%8b%e8%8a%9d%e5%b1%b1%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"347",,
"台東区立育英幼稚園","%e5%8f%b0%e6%9d%b1%e5%8c%ba%e7%ab%8b%e8%82%b2%e8%8b%b1%e5%b9%bc%e7%a8%9a%e5%9c%92",,"348",,
"台東区立田原幼稚園","%e5%8f%b0%e6%9d%b1%e5%8c%ba%e7%ab%8b%e7%94%b0%e5%8e%9f%e5%b9%bc%e7%a8%9a%e5%9c%92",,"349",,
"日仏会館ギャラリー","%e6%97%a5%e4%bb%8f%e4%bc%9a%e9%a4%a8%e3%82%ae%e3%83%a3%e3%83%a9%e3%83%aa%e3%83%bc",,"94",,
"江東区立大島幼稚園","%e6%b1%9f%e6%9d%b1%e5%8c%ba%e7%ab%8b%e5%a4%a7%e5%b3%b6%e5%b9%bc%e7%a8%9a%e5%9c%92",,"350",,
"|3F展示室","3f%e5%b1%95%e7%a4%ba%e5%ae%a4",,"95",,
"港区立芝小学校","%e6%b8%af%e5%8c%ba%e7%ab%8b%e8%8a%9d%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"351",,
