id,Title,開催年度,主催,開催時間,期間_date,期間_date_to,単日/複数日_date
2327,上野夜公園,2016,アーツカウンシル東京|上野「文化の杜」新構想実行委員会,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:0:"""";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:12:""日没後～"";}}}",20161224,20170310
2328,文化との出合いを感動に変えるプロフェッショナル」日本屈指の文化施設で働くプロフェッショナルたちのトークセッション,2016,アーツカウンシル東京|上野「文化の杜」新構想実行委員会,"20170210,20170224,20170307","a:1:{s:4:""time"";a:3:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:13:""2/10（金）"";}i:1;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:13:""2/24（金）"";}i:2;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:12:""3/7（火）"";}}}",20160815,20170131
2331,地域連携プログラム,2016,アーツカウンシル東京|上野「文化の杜」新構想実行委員会,"20170311,20170312,20170319","a:1:{s:4:""time"";b:0;}",20161224,20170310
2334,"めざせ！おんがく忍者！ 2）5歳～6歳（2016年11月20日）",2016,東京文化会館|アーツカウンシル東京|東京都,20161120,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""12:00:00"";s:7:""time_to"";s:8:""13:00:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2335,"Music Clock 3）一般（2016年11月20日）",2016,東京文化会館|アーツカウンシル東京|東京都,20161120,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:8:""15:30:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2337,"旅するヨーロッパ 1）6ヶ月～18ヶ月（2017年2月26日）",2016,東京文化会館|アーツカウンシル東京|東京都,20170226,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""11:30:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2338,"旅するヨーロッパ 2）19ヶ月～35ヶ月（2017年2月26日）",2016,東京文化会館|アーツカウンシル東京|東京都,20170226,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""12:00:00"";s:7:""time_to"";s:8:""13:00:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2339,"カラダ・オト・ウタウ 3）小学生～大人（未就学児不可）（2017年2月26日）",2016,東京文化会館|アーツカウンシル東京|東京都,20170226,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:8:""15:30:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2358,"開館90周年記念フォーラム 創造と共生の場を求めて──美術館の歴史と未来",2016,東京都美術館,20161103,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""13:30:00"";s:7:""time_to"";s:8:""17:00:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2360,"開館90周年記念 アーカイブズ資料展示 造形講座と東京都美術館",2016,東京都美術館,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:0:"""";}}}",20161103,20161204
2363,【特別展】ティツィアーノとヴェネツィア派展,2016,東京都美術館|NHK|NHKプロモーション|読売新聞社,,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:27:""金曜日（夜間開室）"";}}}",20170121,20170402
2366,鑑賞用ツールの制作と提供（ジュニアガイドなど）,2016,東京都美術館,,"a:1:{s:4:""time"";b:0;}","20160422,20161008,20170121","20160524,20161218,20170331"
2368,とびらボードの貸出し　,2016,東京都美術館,,"a:1:{s:4:""time"";b:0;}","20160422,20160611,20161008,20170121","20160503,20160922,20161218,20170331"
2369,とびラーなど学び合いの環境整備,2016,東京都美術館,,"a:1:{s:4:""time"";b:0;}",20160401,20170331
2370,建築ツアーの開催,2016,東京都美術館,"20160618,20160716,20160917,20161119,20170121,20170318,20160513,20160722,20160729,20160805,20160819,20160826,20160909,20160910,20160916,20161022,20161111,20161216,20170127,20170303,20160910,20161029,20161030","a:1:{s:4:""time"";b:0;}",,
2371,ギャラリートーク・アーティストトークの実施,2016,東京都美術館,"20160423,20160504,20160505,20160508,20160514,20160521,20160611,20160730,20160827,20160715,20160805,20160903,20160731,20160814,20160902,20160821,20160904,20160910,20160917,20161008,20161112,20161118,20161202,20170121,20170211,20170218,20170225,20170107,20170108,20170109,20170304,20170312","a:1:{s:4:""time"";b:0;}",,
2374,障害のある方のための特別鑑賞会,2016,東京都美術館,"20160509,20160822,20161128,20170227","a:1:{s:4:""time"";b:0;}",,
2375,"金井 学",2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170401,20170629
2376,"【連携展】都美セレクション 新鋭美術家 2017",2016,東京都美術館,,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:9:""金曜日"";}}}",20170219,20170315
2383,"金 瑞姫",2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170405,20170628
2384,"田中 英行",2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170501,20170725
2385,"鎌田 友介",2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170601,20170829
2386,ミヤギフトシ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170801,20170903
2387,"水木 塁",2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170801,20171010
2388,ジェローム・ブシャール,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170501,20170726
2389,イ・スヨン,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170501,20170726
2390,ジル・アディソン,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170703,20170729
2391,建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」,2017,東京都庭園美術館,,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""18:00:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:62:""3/23(金), 3/24(土), 3/30(金), 3/31(土), 4/6(金), 4/7(土)"";}}}",20180321,20180612
2392,マーティン・エブナー,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170904,20171129
2393,シモ・ケロクンプ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170904,20171129
2394,ヒュー・デイヴィーズ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170904,20171129
2396,第１回,2017,東京都庭園美術館|株式会社ジャパン・アーツ,20171227,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,
2397,第２回,2017,東京都庭園美術館|株式会社ジャパン・アーツ,20171227,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,
2398,第３回,2017,東京都庭園美術館|株式会社ジャパン・アーツ,20180124,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,
