Title,id,会場(投稿),開催年度,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,バリアフリー対応の有無,バリアフリー対応策（例）,組織委員会の認証の有無,画像等データの有無,決算額_year,決算額_price
幕末維新期における江戸の人材派遣業②,1625,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
福井県連携講座「由利公正という個性」,1626,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
江戸幕府の最高権力者徳川将軍②歴代将軍一覧,1627,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
特別展「江戸と北京」関連講座①「老北京」の年中行事,1628,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
特別展「江戸と北京」関連講座②絵巻から見た江戸と北京の都市生活―「江戸と北京」展のみどころ―,1629,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
千住の文化と美術―琳派と文晁の系譜―③千住と文晁の系譜,1630,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
企画展「戦時下のこどもたち」関連講座①「少国民」のくらし―戦時下東京のこどもたち展のみどころ―,1631,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2017,2016,,無し,,有り,バリアフリー対応施設,なし,なし
異国に贈られた屏風絵,1632,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
新・日本建築家列伝「フランク・ロイド・ライトと日本」①フランク・ロイド・ライトと日本への影響,1633,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
企画展「戦時下のこどもたち」関連講座②女学生の勤労動員と風船爆弾,1634,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
別展「江戸と北京」関連講座③日本に招来された清朝陶磁器,1635,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,無し,,,なし
新・日本建築家列伝「フランク・ロイド・ライトと日本」②ライトからの贈り物をいきいきと受け継いで～自由学園明日館の動態保存～,1636,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
江戸幕府の最高権力者徳川将軍③歴代将軍の「妻妾」,1637,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"「能公演 ・藤戸」公益財団法人能楽協会の企画制作による公演",1639,"東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,有り,,有り,バリアフリー対応施設,なし,なし
「狂言・附子、居杭」公益財団法人能楽協会の企画制作による公演,1640,"東京都江戸東京博物館 - 1F 貸出施設 大ホール",2016,2016,,有り,,有り,バリアフリー対応施設,なし,なし
国際交流事業（第15回日中韓博物館国際シンポジウム）,1642,瀋陽故宮博物院,2016,2016,,無し,,無し,,なし,なし
曲独楽・落語（10月23日）,1650,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
