Title,id,会場(投稿),開催年度,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,バリアフリー対応の有無,バリアフリー対応策（例）,組織委員会の認証の有無,画像等データの有無,決算額_year,決算額_price
"実践講座 アクセス",4507,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"B.［コラボラティヴ・カタロギング・ジャパン（CCJ）共催企画］ 国際連携シンポジウム タイムベースド・メディアの収集保存 ―― ニューヨーク近代美術館、アンソロジー・フィルム・ アーカイヴス、東京都写真美術館の事例から",4508,"東京都写真美術館 - 1F ホール",2017,2017,,有り,英語,有り,バリアフリー対応施設,,あり・チラシ画像
"C.［日仏会館共催企画］ 映像のヴィジブル／インヴィジブル ――8K映像の可能性",4509,"日仏会館 - ホール（日仏会館ホール）",2017,2017,,有り,英語,有り,バリアフリー対応施設,,あり・チラシ画像
ドラゴンの人形,4510,"たましんRISURUホール（立川市民会館） - 地下サブホール",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
"実践講座 建築",4511,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
まいごのこねこ,4512,"たましんRISURUホール（立川市民会館） - ギャラリー（3F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
"I. mamoru ライヴ・パフォーマンス：あり得た（る）かもしれないその歴史を聴き取ろうとし続けるある種の長い旅路、特に日本人やオランダ人その他もろもろに関して",4514,"恵比寿ガーデンプレイス - ザ・ガーデンホール/ルーム",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像
"Ⅱ. エクスパンデッド・シネマ・パフォーマンス：Beyond the Frame",4515,"恵比寿ガーデンプレイス - ザ・ガーデンホール/ルーム",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像
マチノヒ,4516,"文京シビックホール - 小ホール（2F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
3匹のこぶた,4518,"文京シビックホール - 多目的室（B1F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
ぶす,4520,"文京シビックホール - 多目的室（B1F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
だるま森,4521,"文京シビックホール - 練習室1（B1F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
アンデスの笛,4523,"文京シビックホール - 練習室1（B1F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
黄金の実,4524,"亀戸文化センター（カメリアホール） - 大研修室（2F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
おはなしちんどん,4526,"亀戸文化センター（カメリアホール） - 大研修室（2F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
えのきだまさし,4527,"亀戸文化センター（カメリアホール） - 大研修室（2F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
とびだす音楽,4528,"亀戸文化センター（カメリアホール） - 大研修室（2F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
14ひきのはるなつあきふゆ,4529,"亀戸文化センター（カメリアホール） - 大研修室（2F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
バオバブライブ,4530,"亀戸文化センター（カメリアホール） - 第1研修室（5F)|亀戸文化センター（カメリアホール） - 第2研修室（5F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
びりとブッチー,4532,"亀戸文化センター（カメリアホール） - 第1研修室（5F)|亀戸文化センター（カメリアホール） - 第2研修室（5F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
おおきなかぶ,4533,"亀戸文化センター（カメリアホール） - 第1研修室（5F)|亀戸文化センター（カメリアホール） - 第2研修室（5F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
はじめてのオーケストラ,4534,亀戸文化センター（カメリアホール）,2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
