Title,id,会場(投稿),開催年度,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,バリアフリー対応の有無,バリアフリー対応策（例）,組織委員会の認証の有無,画像等データの有無,決算額_year,決算額_price
探検コンサート,4536,亀戸文化センター（カメリアホール）,2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
"フェスティヴァルの全体像を掴もうツアー ［90分／日本語］",4537,"東京都写真美術館|恵比寿ガーデンプレイス - センター広場|日仏会館 - ギャラリー",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
"Full Festival Tour",4538,"東京都写真美術館|恵比寿ガーデンプレイス - センター広場|日仏会館 - ギャラリー",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
"TOPメイン会場ツアー ［60分／日本語］",4539,東京都写真美術館,2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
"TOP Museum Guided Tour: EnglishVersion",4540,東京都写真美術館,2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
白雪姫②,4541,亀戸文化センター（カメリアホール）,2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
ゲゲゲの鬼太郎,4542,"亀戸文化センター（カメリアホール） - 第3研修室（6F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
傘の幕に映してみるぞい,4544,"亀戸文化センター（カメリアホール） - 第3研修室（6F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
彼と私,4545,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
上映とトーク『波のした、土のうえ』,4546,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
役者になって大ひょーげん,4548,"亀戸文化センター（カメリアホール） - 第3研修室（6F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
スペシャルチャレンジ企画　生アテレコ,4550,"亀戸文化センター（カメリアホール） - 第3研修室（6F)|亀戸文化センター（カメリアホール） - 第1研修室（5F)|亀戸文化センター（カメリアホール） - 第2研修室（5F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
Trace(s),4552,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
"「YEBIZO MEETS」Ⅰ 特別セッション 東京から発信する映画・映像祭の「今」",4553,"東京都写真美術館 - 1F スタジオ",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
"「YEBIZO MEETS」Ⅱ 地域発信トーク：NPO法人アーツイニシアティヴトウキョウ",4554,"東京都写真美術館 - 1F スタジオ",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
"「YEBIZO MEETS」Ⅲ リンクセッション：東京から発信するグラスルーツアートプロジェクトを検証 ―　オルタナティヴ・スペースstatements／アサクサの事例から",4555,"東京都写真美術館 - 1F スタジオ",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
"「YEBIZO MEETS」Ⅳ 地域連携発信 特別イベント視覚障害者とつくる美術鑑賞ワークショップin恵比寿映像祭",4556,東京都写真美術館,2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
すてきな３にんぐみ,4559,"生涯学習センター（清瀬市） - アミューホール（7F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
"SELL OUR BODY E×P",4561,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
しみじみクラゲ,4562,"生涯学習センター（清瀬市） - 講座室1（6F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
モンちゃん,4564,"生涯学習センター（清瀬市） - 講座室2（6F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
演劇,4566,"生涯学習センター（清瀬市） - 会議室1（6F)",2016,2016,,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像|あり・その他画像
Tsumugine,4568,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
"Acoustic Device 騒音のための5楽章",4569,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
"POST-ER OFFICE",4570,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
旗、越境者と無法地帯,4571,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
Therapist,4572,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
未来を創る映画館展,4573,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
アーセナル・オブ・デモクラシー,4574,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
ロング・ナイト,4575,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
猟師の生活,4576,トーキョーワンダーサイト本郷,2016,2016,,有り,英語,無し,,なし,なし
"若手のための現代音楽企画ゼミ2016 プログラム",4578,"東京芸術劇場 - ミーティングルーム|東京芸術劇場 - リハーサル室|東京芸術劇場 - シンフォニースペース",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
フェスティバルFUKUSHIMA!@池袋西口公園,4584,池袋西口公園,2016,2016,,有り,英語,無し,,なし,なし
「小名木川物語」試写会,4585,仲町の家（足立区）,2017,2017,,無し,,無し,,なし,なし
「鍵」プレ公演,4586,仲町の家（足立区）,2017,2017,,無し,,無し,,なし,なし
「知らない路地の映画祭」説明会,4587,仲町の家（足立区）,2017,2017,,無し,,無し,,なし,なし
お茶の忘年会,4588,仲町の家（足立区）,2017,2017,,無し,,無し,,なし,なし
「知らない路地の映画祭」ナカチョームービー大作戦,4591,,2017,2017,,無し,,無し,,なし,なし
[2017]建築ツアーの開催,4592,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
イデビアン・クルー『シカク』,4594,にしすがも創造舎,2016,2016,,有り,英語,無し,,なし,なし
"x / groove space",4595,"東京芸術劇場 - シアターイースト",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
『Woodcutters－伐採－』,4596,"東京芸術劇場 - プレイハウス",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
パク・グニョン×南山芸術センター『哀れ、兵士』,4597,豊島区舞台芸術交流センター（あうるすぽっと）,2016,2016,,有り,英語,無し,,なし,なし
マレビトの会『福島を上演する』,4598,にしすがも創造舎,2016,2016,,有り,英語,無し,,なし,なし
"FM ３『Buddha Boxing』",4599,"豊島区舞台芸術交流センター（あうるすぽっと） - ホワイエ",2016,2016,,有り,英語,無し,,なし,なし
ドーレ・ホイヤーに捧ぐ『人間の激情』『アフェクテ』『エフェクテ』,4600,豊島区舞台芸術交流センター（あうるすぽっと）,2016,2016,,有り,英語,無し,,なし,なし
インスタントカフェ・シアターカンパニー『NADIRAH』,4601,にしすがも創造舎,2016,2016,,有り,英語,無し,,なし,なし
"『B.E.D.（Episode 5）』",4602,"江東区某所（B.E.D. (Episode 5)）",2016,2016,,有り,英語,無し,,なし,なし
"ASWARA － マレーシア国立芸術文化遺産大学『BONDINGS』",4603,森下スタジオ（江東区）,2016,2016,,有り,英語,無し,,なし,なし
『POLITIKO』,4604,森下スタジオ（江東区）,2016,2016,,有り,英語,無し,,なし,なし
『ふくちゃんねる』,4605,"Racines Farm to Park（南池袋公園内）",2016,2016,,有り,英語,無し,,なし,なし
『うたの木』,4606,豊島の森（豊島区庁舎10階屋上庭園）,2016,2016,,有り,英語,無し,,なし,なし
ドキュントメント『となり街の知らない踊り子』,4607,"豊島区舞台芸術交流センター（あうるすぽっと） - ホワイエ",2016,2016,,有り,英語,無し,,なし,なし
"チェルフィッチュ 『あなたが彼女にしてあげられることは何もない』",4608,"Racines Farm to Park（南池袋公園内）",2016,2016,,有り,英語,無し,,なし,なし
"『ヨブの話̶善き人のいわれなき受難 L’homme de Hus』",4609,"東京芸術劇場 - プレイハウス",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
"芸劇dance 勅使川原三郎×山下洋輔『up』",4610,"東京芸術劇場 - プレイハウス",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
『かもめ』,4611,"東京芸術劇場 - プレイハウス",2016,2016,,有り,英語,有り,バリアフリー対応施設|点字ガイド・手話通訳・字幕ガイド等|その他の取組,なし,なし
『三代目、りちゃあど』,4612,"東京芸術劇場 - シアターウエスト",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
"第28回『 池袋演劇祭』",4613,"池袋近郊15会場（池袋演劇祭 第28回）",2016,2016,,有り,英語,無し,,なし,なし
"『大田楽 いけぶくろ絵巻』",4614,南池袋公園|グリーン大通り（豊島区）|としまセンタースクエア（豊島区庁舎１階）,2016,2016,,有り,英語,無し,,なし,なし
『ノイズの海』,4615,豊島区舞台芸術交流センター（あうるすぽっと）,2016,2016,,有り,英語,無し,,なし,なし
"『TERU TERU!』",4616,"東京芸術劇場 - シアターウエスト",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
焦土,4617,"東京芸術劇場 - シアターウエスト",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
"『Kiss Kiss Bang Bang 2.0（a-work-in-progress）』",4618,"東京芸術劇場 - シアターウエスト",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
『enTRANCED』,4620,"東京芸術劇場 - シアターウエスト",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
『a』,4621,"東京芸術劇場 - シアターウエスト",2016,2016,,有り,英語,有り,バリアフリー対応施設,なし,なし
オープニングセレモニー,4622,南池袋公園,2016,2016,,有り,英語,無し,,なし,なし
トーク「０場」,4623,"WACCA池袋 - 4F ギャラリー",2016,2016,,有り,英語,無し,,なし,なし
オーケストラコンサート,4624,"東京芸術劇場 - コンサートホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
SF映画『インターステラー』で学ぶ相対性理論超入門,4625,仲町の家（足立区）,2017,2017,,無し,,無し,,なし,なし
体験ワークショップ,4627,"東京芸術劇場 - ミーティングルーム|東京芸術劇場 - 中リハーサル室（リハーサルルーム L）|東京芸術劇場 - シンフォニースペース|東京芸術劇場 - 中リハーサル室（リハーサルルーム M1）",2016,2016,,無し,,無し,バリアフリー対応施設,なし,なし
[2017]ギャラリートーク・アーティストトークの実施,4628,,2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"""あの千住のボッタが 帰ってきた！～影絵 とトークで時間を超える～tsu-na-ga-ruのボッタ""",4629,仲町の家（足立区）,2017,2017,,無し,,無し,,なし,なし
"rooms 2",4630,仲町の家（足立区）,2017,2017,,無し,,無し,,なし,なし
ミニコンサート,4631,"東京芸術劇場 - 大ホール ホワイエ|東京芸術劇場 - 大ホール エントランスホール（5階）|東京芸術劇場 - アトリウム内ステージ（中2階）",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
練習会「ほくさい音楽博」,4634,"トッピングイースト|すみだトリフォニーホール - 練習室|摂社若宮牛嶋神社 - 社務所|さくら橋コミュニティセンター",2017,2017,,無し,,無し,,なし,なし
「ほくさい音楽博」ガムラン体験会,4648,外手児童館|さくら橋コミュニティセンター,2017,2017,,有り,英語,無し,,なし,あり・その他画像
[2017]キッズデーの参加プログラム試行実施,4651,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
発表会「ほくさい音楽博」,4652,回向院|-両国-江戸NOREN|ギャラリーX（カイ）,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"日本バレエ協会公演 「ラ・バヤデール」全幕",4655,"東京文化会館 - 大ホール",2016,2016,,無し,,有り,バリアフリー対応施設,なし,あり・その他画像
みまもり隊,4656,トッピングイースト|みどりコミュニティセンター,2017,2017,,有り,英語,無し,,なし,あり・その他画像
[2017]障害のある方のための特別鑑賞会,4663,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"ワークショップ inしょうぶまつり",4664,東綾瀬公園,2017,2017,,無し,,無し,,なし,なし
[2017]教員向け研修プログラムの実施,4666,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
東京バレエ団＜ウィンター・ガラ＞,4667,"Bunkamura - オーチャードホール",2016,2016,,無し,,有り,その他の取組,なし,あり・その他画像
[2017]学校団体来館の対応（免除申請・電話相談・当日対応）,4668,東京都美術館,2017,"2017,2018",",",無し,,有り,バリアフリー対応施設,,なし
東京ニコス体験会,4669,トッピングイースト,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"Maker Faire Tokyo 2017 出展",4670,東京ビッグサイト（東京国際展示場）,2017,2017,,無し,,無し,,なし,なし
"東京Orchest-Lab 活動日",4672,トッピングイースト,2017,2017,,無し,,無し,,なし,あり・その他画像
[2017]とびラーなど学び合いの環境整備,4675,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"Relight Days",4676,"六本木ヒルズけやき坂「Counter Void」前",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"Relight Committee",4677,"アーツ千代田3331 - 3F アーツカウンシル東京ROOM302|アート集積ビル（PUBULICUS）",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"[2017]東京都リーディングプロジェクト TURN FES",4678,"東京都美術館 – LBF 第1公募展示室|東京都美術館 – LBF 第2公募展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
教材開発,4680,,2017,2017,,無し,,無し,,なし,なし
PR,4681,,2017,2017,,無し,,無し,,なし,なし
"Relight Symposium",4682,"100BANCH - 3F LOFT",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
東京都立八王子特別支援学校,4684,東京都立八王子特別支援学校,2016,,,無し,,有り,バリアフリー対応施設|障害者も参加可能なワークショップ,なし,なし
[2017]あいうえのファミリー（こどもと家族のプログラム）,4687,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"R.I.P.TOKYO はじまる",4688,"Vieill Bakerycafe&Gallery",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"R.I.P.TOKYO はなまる",4692,小竹町会館,2017,2017,,有り,英語,無し,,,あり・チラシ画像|あり・その他画像
"R.I.P.TOKYO みとれる",4695,"norari:kurari cafe&galette",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"R.I.P.TOKYO はぐれる",4697,青ヶ島,2017,2017,,無し,,無し,,なし,なし
"R.I.P.TOKYO きこえる",4699,小竹町会館,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"R.I.P.TOKYO くすぐる",4700,"江古田斎場 - F2 第二会館（大悲堂）",2017,2017,,無し,,無し,,なし,あり・チラシ画像|あり・その他画像
"R.I.P.TOKYO みつける",4703,珈琲店ぶな,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"「Rest In Peace, TOKYO」戯曲　作成",4705,,2017,2017,,無し,,無し,,なし,なし
記録集と映像記録を作成,4706,,2017,2017,,無し,,無し,,なし,なし
"[2017]あいうえの学校 （学校向けプログラム）  スペシャルマンデーコース",4707,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"さよなら汐入タワー ～いままでありが塔～",4710,汐入ふれあい館,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"[2017]あいうえの学校 (学校向けプログラム)  平日開館コース",4711,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
[2017]あいうえのメンバー向けプログラム,4714,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
シェアリング・セッション,4715,東京都内各所,2017,2017,,無し,,無し,,なし,あり・その他画像
"""シェアリング・セッション Stories behind “How do we meet? How can we meet?”多文化な若者たちの居 場所づくり それぞれの現場から見えてきたいま""",4716,"アーツカウンシル東京 - 3F ROOM302",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
[2017]学びあいカフェ,4717,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
エンゲージメント・プログラム,4718,,2017,2017,,無し,,無し,,なし,なし
地域連携プログラム,4719,"日仏会館 - ホール（日仏会館ホール）|恵比寿ガーデンプレイス - YEBISU GARDEN CINEMA|伊東建築塾|MA2 Gallery|CAGE GALLERY|Gallery 工房 親|MuCuL studio|NADiff a/p/a/r/t|G/P gallery|MEM|Galerie LIBRAIRIE6|AL|AIT|LOKO GALLERY",2017,2017,,無し,,無し,,なし,なし
定時制高校でのプログラム,4720,東京都立一橋定時制高校,2017,2017,,無し,,無し,,なし,あり・その他画像
"【ボイマンス美術館所蔵 ブリューゲル「バベルの塔」展】記念講演会",4722,"東京都美術館 - 講堂",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,なし
学校外でのプログラム,4723,東京都内各所,2017,2017,,無し,,無し,,なし,なし
【ボストン美術館の至宝展】,4724,"東京都美術館 - 講堂",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,なし
人材育成プログラム,4725,,2017,2017,,無し,,無し,,なし,あり・その他画像
"【杉戸洋展 とんぼ と のりしろ】",4726,"東京都美術館 - 講堂",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,なし
"【ゴッホ展 巡りゆく日本の夢】",4727,"東京都美術館 - 講堂",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,なし
【ブリューゲル展】,4728,"東京都美術館 - 講堂",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,なし
"【上野アーティストプロジェクト 現代の写実】",4729,"東京都美術館 - 講堂",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,なし
【誘致展】フォトジャーナリスト長倉洋海の眼　地を這い、未来へ駆ける,4735,"東京都写真美術館 - B1F 展示室",2017,2017,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,なし,あり・チラシ画像
"【誘致展】第42回 2017 JPS展 日本写真家協会",4737,"東京都写真美術館 - B1F 展示室",2017,2017,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,なし,あり・チラシ画像
フィールドワークする身体性,4739,"ロフトワーク／COOOP 10",2017,2017,,有り,英語,無し,,なし,あり・その他画像
東京民俗学,4742,株式会社オープン・エー,2017,2017,,有り,英語,無し,,なし,あり・その他画像
"【誘致展】世界報道写真展2017 WORLD PRESS PHOTO 2017",4743,"東京都写真美術館 - B1F 展示室",2017,2017,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,なし,あり・チラシ画像
"ピルグリム（ 巡礼）とは何か",4745,"ロフトワーク／FabCafe MTRL",2017,2017,,有り,英語,無し,,なし,あり・その他画像
「ピルグリム（巡礼）」フィールドワーク,4747,石神井|十条|武蔵小山,2017,2017,,無し,,無し,,なし,あり・その他画像
【誘致展】写真新世紀東京展2017,4750,"東京都写真美術館 - B1F 展示室",2017,2017,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,,あり・チラシ画像
合宿,4753,檜原村,2017,2017,,無し,,無し,,なし,なし
実験イベント本番,4756,東京都内各所,2017,2017,,無し,,無し,,なし,なし
実験イベント報告会,4757,"ロフトワーク／FabCafe MTRL",2017,2017,,有り,英語,無し,,なし,あり・その他画像
【誘致展】生誕100年　ユージン・スミス写真展,4758,"東京都写真美術館 - B1F 展示室",2017,2017,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,なし,あり・チラシ画像
"【誘致展】APAアワード2018 第46回 公益社団法人日本広告写真家協会公募展",4760,"東京都写真美術館 - B1F 展示室",2017,2017,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,,あり・チラシ画像
"【誘致展】清里フォトアートミュージアム収蔵作品展 原点を、永遠に。̶２０１８̶",4762,"東京都写真美術館 - B1F 展示室",2017,2017,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,,あり・チラシ画像
"“アーカイブ” を知る・考える",4764,"しぜんの国保育園（町田市） - 2F 事務所",2017,2017,,無し,,無し,,なし,なし
"YATO の棚卸し",4766,簗田寺,2017,2017,,無し,,無し,,なし,あり・その他画像
"YATO のお披露目",4768,簗田寺,2017,2017,,有り,英語,無し,,なし,あり・その他画像
事業の基本方針および運営基盤構築のためのリサーチプログラム,4770,神津島村,2017,2017,,無し,,無し,,なし,なし
"「HAPPY TURN」勉強会",4772,神津島村,2017,2017,,無し,,無し,,なし,あり・その他画像
"Artpoint Meeting ＃03 ―まちで企む―",4774,"武蔵野プレイス - 4階フォーラム",2017,2017,,有り,英語,無し,,なし,あり・その他画像
"Artpoint Meeting ＃04 ―日常に還す―",4775,"100BANCH - 3F LOFT",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"Artpoint Meeting ＃05 ―公開報告会―",4776,"アーツカウンシル東京 - 大会議室",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
図書室等の運営,4779,"東京都写真美術館 - 4F 図書室",2017,2017,,有り,英語|中国語簡体字|韓国語,有り,バリアフリー対応施設,なし,あり・その他画像
ぐるぐるの会①「ぐるぐるミックスについての説明・平成29年度の活動に関する説明」,4781,社会福祉法人愛泉会かまいしこども園,2017,2017,,無し,,無し,,なし,あり・その他画像
ぐるぐるミックス①「帯がみあそび」,4783,社会福祉法人愛泉会かまいしこども園,2017,2017,,無し,,無し,,なし,あり・その他画像
ぐるぐるの会②,4785,社会福祉法人愛泉会かまいしこども園,2017,2017,,無し,,無し,,なし,あり・その他画像
ぐるぐるミックス②－１「ミルボーづくり」,4786,社会福祉法人愛泉会かまいしこども園,2017,2017,,無し,,無し,,なし,あり・その他画像
"東京工芸大学芸術学部 写真学科(2017年4月12日)",4787,"東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
ぐるぐるミックス②－２「ミルボーの探検」,4788,社会福祉法人愛泉会かまいしこども園,2017,2017,,無し,,無し,,なし,あり・その他画像
ぐるぐるの会③「盆栽あそび」に向けて,4789,社会福祉法人愛泉会かまいしこども園,2017,2017,,無し,,無し,,なし,あり・その他画像
ぐるぐるミックス③「盆栽あそび」,4790,社会福祉法人愛泉会かまいしこども園,2017,2017,,無し,,無し,,なし,あり・その他画像
"NHK文化センター 練馬光ヶ丘教室(2017年4月20日)",4791,"東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
学習院大学(2017年4月27日),4792,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 2F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
東京造形大学(2017年5月9日),4793,"東京都写真美術館 - 1F スタジオ|東京都写真美術館 - 2F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
山口県立大学(2017年5月19日),4794,"東京都写真美術館 - 3F 展示室",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
"東邦大学 看護学部(2017年6月16日)",4795,"東京都写真美術館 - 1F スタジオ",2017,2017,,無し,,有り,バリアフリー対応施設,,なし
ぐるぐるの会④「活動の振返り・今後に向けて」,4796,社会福祉法人愛泉会かまいしこども園,2017,2017,,無し,,無し,,なし,なし
[2017]東京フィルハーモニー交響楽団,4800,"東京芸術劇場 - コンサートホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
[2017]NHK交響楽団,4801,"東京芸術劇場 - コンサートホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
