"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Google API Key","Enqueue Google Maps API Script","Enqueue ACF Google Maps Script","Force Shortcodes Processing","Multilingual VC Snippet IDs","Multilingual ACF Field Picker IDs",会場の所属する自治体,会場の存在する自治体名,人数,"Tokyo FESTIVALの分類",WEBサイトのアドレス,概要,対象,会場(投稿),会場,主催,共催,協賛,協力,後援,申請自治体,開催年度,"単日/複数日 - 期間",開催時間,開催日数（展覧会・公演）,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,料金,出演者数／出展アーティスト数／登壇者数等,出演者数／出展アーティスト数／登壇者数等（外国人）,ジャンル,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,多言語対応（例）音声ガイドの多言語化,多言語対応（例）キャプション・字幕の多言語化,多言語対応（例）その他の多言語化,多言語対応（例）その他の多言語化（内容）,バリアフリー対応の有無,バリアフリー対応策（例）,バリアフリー対応策（例）その他,組織委員会の認証の有無,画像等データの有無,画像,動画URL,関連プログラム名,事業マスター,カテゴリ,"Tokyo FESTIVALの分類",決算額_year,決算額_price,概要,WEBサイトURL,カテゴリ・プログラム登録_title,カテゴリ・プログラム登録_projectninzuu,カテゴリ・プログラム登録_content_program,会場の所属する自治体,会場の存在する自治体名
,,,,,,,,,,,,,,,,1,,"東京都庭園美術館では教育普及事業をラーニング･プログラム「ようこそ　あなたの美術館へ」と名付け、当館の活動の柱である建物公開事業・展覧会事業・庭園公開事業を、より多様な人々に提供するためのプログラムを行っている。
「ようこそ　あなたの美術館へ」では、次の３つを目指している。
①美術館体験と日常をつなげる。
②一人一人が美術館での自分の楽しみ方を発見する。
③時間や場所やテーマをシェアする中で、新しい感じ方・考え方に出会う。
そのための具体的なアクションとして、開館日にはいつでも利用できる「ウェルカムルーム」に加え、「ギャラリー・カンバセーション」、「あーととあそぶにわ」などの各種ワークショップなどを開催している。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"2016,2017",",","東京都庭園美術館では教育普及事業をラーニング･プログラム「ようこそ　あなたの美術館へ」と名付け、当館の活動の柱である建物公開事業・展覧会事業・庭園公開事業を、より多様な人々に提供するためのプログラムを行っている。
「ようこそ　あなたの美術館へ」では、次の３つを目指している。
①美術館体験と日常をつなげる。
②一人一人が美術館での自分の楽しみ方を発見する。
③時間や場所やテーマをシェアする中で、新しい感じ方・考え方に出会う。
そのための具体的なアクションとして、開館日にはいつでも利用できる「ウェルカムルーム」に加え、「ギャラリー・カンバセーション」、「あーととあそぶにわ」などの各種ワークショップなどを開催している。",," 「あーととあそぶにわ」,「五感と想像力で歩く建築ツアー」,「ここクリエイション」東山佳永「透明になるためのプラクティス」",",,","第7回「クリスチャン・ボルタンスキー」「アール・デコの花弁」に関連したプログラム「おばけとわたしのちず」|第8回「クリスチャン・ボルタンスキー」「アール・デコの花弁」に関連したプログラム「おばけとわたしのちず」|第9回「クリスチャン・ボルタンスキー」「アール・デコの花弁」に関連したプログラム「おばけとわたしのちず」|第10回「並河靖之七宝展」に関連したプログラム「ちょうちょでじゃんけん」|第11回「並河靖之七宝展」に関連したプログラム「ちょうちょでじゃんけん」|第12回「並河靖之七宝展」に関連したプログラム「ちょうちょでじゃんけん」,「五感と想像力で歩く建築ツアー」手話の回|「五感と想像力で歩く建築ツアー」,「ここクリエイション」東山佳永「透明になるためのプラクティス」",,
,,,,,,,,,,,,,,,,1,,"2014年のリニューアルを機にスタートした、ギャラリー２を中心にパフォーミング・アーツを紹介する「TTM:IGNITION BOX」を昨年度と同じ 4名のプログラム・ディレクターの企画のもと実施した。それぞれ東京都庭園美術館の歴史や空間の特性をいかしたコンセプトを立案し、多くの新作を含め東京都庭園美術館でしか見られないプログラムが実現した。当館の美術館としての可能性を広げるとともに、展覧会の来場者とは異なる層の参加も目立ち、リニューアルを経た東京都庭園美術館の新しいイメージを打ち出す重要なファクターを担っている。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"2014年のリニューアルを機にスタートした、ギャラリー２を中心にパフォーミング・アーツを紹介する「TTM:IGNITION BOX」を昨年度と同じ 4名のプログラム・ディレクターの企画のもと実施した。それぞれ東京都庭園美術館の歴史や空間の特性をいかしたコンセプトを立案し、多くの新作を含め東京都庭園美術館でしか見られないプログラムが実現した。当館の美術館としての可能性を広げるとともに、展覧会の来場者とは異なる層の参加も目立ち、リニューアルを経た東京都庭園美術館の新しいイメージを打ち出す重要なファクターを担っている。",,"PROGRAM_B｜Installation / dance / Live,PROGRAM_C｜Live / streaming,PROGRAM_D｜Installation / Screening / Live",",,","PROGRAM_B｜Installation / dance / Live,PROGRAM_C｜Live / streaming,PROGRAM_D｜Installation / Screening / Live",,
,,,,,,,,,,,,,,,,1,,写真・映像を「時間と光」というエッセンスによって捉え、1960年代末より活躍してきた作家・山崎博の仕事をたどる公立美術館で初めての展覧会。長時間露光によって太陽の光跡を視覚化した代表シリーズ〈HELIOGRAPHY〉をはじめ、〈水平線採集〉や〈桜〉のシリーズなど代表的な写真作品と、また作家が写真と平行して追究してきた映像作品、さらに新作を含む出品点数211点によって、現代のコンセプチュアルな写真・映像の先駆者・山崎博の歩みを今日的な視点から通覧した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,写真・映像を「時間と光」というエッセンスによって捉え、1960年代末より活躍してきた作家・山崎博の仕事をたどる公立美術館で初めての展覧会。長時間露光によって太陽の光跡を視覚化した代表シリーズ〈HELIOGRAPHY〉をはじめ、〈水平線採集〉や〈桜〉のシリーズなど代表的な写真作品と、また作家が写真と平行して追究してきた映像作品、さらに新作を含む出品点数211点によって、現代のコンセプチュアルな写真・映像の先駆者・山崎博の歩みを今日的な視点から通覧した。,http://topmuseum.jp/contents/exhibition/index-2574.html,,,"総合開館20周年記念事業 山崎博　計画と偶然",,
,,,,,,,,,,,,,,,,1,,"リニューアル・オープン／総合開館20周年記念展覧会として開催。杉本博司は1970年代からニューヨークを拠点とし、〈ジオラマ〉〈劇場〉〈海景〉などの大型カメラを用いた精緻な写真表現で国際的な評価を得て、近年は歴史的論考に基づく展覧会や、国内外の建築作品を手がけるなど、現代美術や建築等、分野横断的な活動をしている現代作家である。本展覧会は人類と文明の終焉という壮大なテーマを掲げ、最新作を中心に展示した。3階展示室では、本邦初公開のシリーズ〈今日 世界は死んだ もしかすると昨日かもしれない〉を展示。錆びたトタンと古材で展示室を覆い、杉本の蒐集品である古美術、化石、書籍、歴史的資料等と自身の作品を用いて、文明が終わる33のシナリオに基づき空間構成した。2階展示室では、杉本の代表作〈劇場〉の発展したシリーズで、世界初発表となる写真作品〈廃墟劇場〉と新インスタレーション〈仏の海〉を展示し、私たちがつくりあげてきた文明や認識、現代社会を見つめ直し、人類と文明が遺物となってしまわないよう、その行方を再考する機会を創出した。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"リニューアル・オープン／総合開館20周年記念展覧会として開催。杉本博司は1970年代からニューヨークを拠点とし、〈ジオラマ〉〈劇場〉〈海景〉などの大型カメラを用いた精緻な写真表現で国際的な評価を得て、近年は歴史的論考に基づく展覧会や、国内外の建築作品を手がけるなど、現代美術や建築等、分野横断的な活動をしている現代作家である。本展覧会は人類と文明の終焉という壮大なテーマを掲げ、最新作を中心に展示した。3階展示室では、本邦初公開のシリーズ〈今日 世界は死んだ もしかすると昨日かもしれない〉を展示。錆びたトタンと古材で展示室を覆い、杉本の蒐集品である古美術、化石、書籍、歴史的資料等と自身の作品を用いて、文明が終わる33のシナリオに基づき空間構成した。2階展示室では、杉本の代表作〈劇場〉の発展したシリーズで、世界初発表となる写真作品〈廃墟劇場〉と新インスタレーション〈仏の海〉を展示し、私たちがつくりあげてきた文明や認識、現代社会を見つめ直し、人類と文明が遺物となってしまわないよう、その行方を再考する機会を創出した。",http://topmuseum.jp/contents/exhibition/index-2565.html,,,"リニューアル・オープン／総合開館20周年記念事業 杉本博司　ロスト・ヒューマン",,
,,,,,,,,,,,,,,,,1,,"「日本の新進作家vol.13」展と同一の「東京」をテーマとして開催。「東京を表現、記録した国内外の写真作品を収集する」という収集方針のもとに集められた収蔵作品の中から、戦後から現代までの作品を紹介。「街角で」「路地裏で」「東京エアポケット」「見えないものを覗き見る」「境界線の拡大、サバービア」「どこでもない風景」「多層的都市・東京と戯れる」7つのセクションに分けて41作家による150点を展示した。展示室入口で作品リストのほか、初心者・子供向けに写真を鑑賞する際のヒントを掲載した「じっくり見てみるガイドブック」を配布した。また、東京というテーマが子供にもなじみやすいことから、小・中・高等学校へ働きかけ、スクールプログラムとして17校約560人の児童生徒が見学に訪れ、対話による鑑賞などを通して鑑賞を深めた。展示の最後の部屋のみ会場での写真撮影を可能としたことで、来館者が撮影した写真がSNSなどで広がる傾向もみられた。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"「日本の新進作家vol.13」展と同一の「東京」をテーマとして開催。「東京を表現、記録した国内外の写真作品を収集する」という収集方針のもとに集められた収蔵作品の中から、戦後から現代までの作品を紹介。「街角で」「路地裏で」「東京エアポケット」「見えないものを覗き見る」「境界線の拡大、サバービア」「どこでもない風景」「多層的都市・東京と戯れる」7つのセクションに分けて41作家による150点を展示した。展示室入口で作品リストのほか、初心者・子供向けに写真を鑑賞する際のヒントを掲載した「じっくり見てみるガイドブック」を配布した。また、東京というテーマが子供にもなじみやすいことから、小・中・高等学校へ働きかけ、スクールプログラムとして17校約560人の児童生徒が見学に訪れ、対話による鑑賞などを通して鑑賞を深めた。展示の最後の部屋のみ会場での写真撮影を可能としたことで、来館者が撮影した写真がSNSなどで広がる傾向もみられた。
",http://topmuseum.jp/contents/exhibition/index-2570.html,,,"総合開館20周年記念事業 ＴＯＰコレクション 東京・ＴＯＫＹＯ",,
,,,,,,,,,,,,,,,,1,,"東京都が実施している日本庭園整備工事が完了し、西洋庭園（平成 29 年の工事準備で閉園）を除く庭園の公開を開始した。樹木等の管理及び芝生の育成を行い、四季の変化を感じられる庭園公開に努めた。また、都の工事への連携・協力により運営者としての館の意見を反映させ、茶室の耐震補強工事を行った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"東京都が実施している日本庭園整備工事が完了し、西洋庭園（平成 29 年の工事準備で閉園）を除く庭園の公開を開始した。樹木等の管理及び芝生の育成を行い、四季の変化を感じられる庭園公開に努めた。また、都の工事への連携・協力により運営者としての館の意見を反映させ、茶室の耐震補強工事を行った。",https://www.teien-art-museum.ne.jp/garden/,,,庭園公開,,
,,,,,,,,,,,,,,,,1,,来館者一人一人が能動的に美術館体験を楽しむための、ラーニング･プログラムの拠点。カンバセーション・テーブル「さわる小さな庭園美術館」、建築紹介の音声ガイドとしても使えるアプリのためのタブレット端末、本棚、ワークシートなどが設置されており、展覧会鑑賞前後にのんびり過ごす空間として親しまれている他、学校団体などの受け入れや、ワークショップの会場としても活用。展覧会ごとに模様替えを行い、展覧会にあわせたプログラムも実施している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,来館者一人一人が能動的に美術館体験を楽しむための、ラーニング･プログラムの拠点。カンバセーション・テーブル「さわる小さな庭園美術館」、建築紹介の音声ガイドとしても使えるアプリのためのタブレット端末、本棚、ワークシートなどが設置されており、展覧会鑑賞前後にのんびり過ごす空間として親しまれている他、学校団体などの受け入れや、ワークショップの会場としても活用。展覧会ごとに模様替えを行い、展覧会にあわせたプログラムも実施している。,https://www.teien-art-museum.ne.jp/programs/learningprogram.html,ウェルカムルームの運営,,ウェルカムルームの運営,,
,,,,,,,,,,,,,,,,1,,"当館では、平成7年度の開館以来、教育普及事業を通じて、鑑賞教育の充実を図ってきた。特に、美術館を都民により開かれ
た施設と位置づけ、ボランティアによる常設展示作品解説を毎日実施するとともに、一般やこども（親子含む）を対象とした鑑賞プログラムにも力を入れている。特に、学校団体の受け入れに対しては積極的に対応している。
平成28年（2016年）度も、あらゆる来館者が現代美術と対話し理解を深めることができるよう、来館者の知的好奇心や学習ニーズに配慮して、ギャラリートークをはじめ美術館講座、ギャラリークルーズ、ワークショップ等を実施した。なお、改修工事休館に入ったため、アウトリーチ事業など館外プログラムを充実させた。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"当館では、平成7年度の開館以来、教育普及事業を通じて、鑑賞教育の充実を図ってきた。特に、美術館を都民により開かれ
た施設と位置づけ、ボランティアによる常設展示作品解説を毎日実施するとともに、一般やこども（親子含む）を対象とした鑑賞プログラムにも力を入れている。特に、学校団体の受け入れに対しては積極的に対応している。
平成28年（2016年）度も、あらゆる来館者が現代美術と対話し理解を深めることができるよう、来館者の知的好奇心や学習ニーズに配慮して、ギャラリートークをはじめ美術館講座、ギャラリークルーズ、ワークショップ等を実施した。なお、改修工事休館に入ったため、アウトリーチ事業など館外プログラムを充実させた。",,"ギャラリークルーズ,団体鑑賞教室,アーティストの一日学校訪問,アウトリーチプログラム（ＧＯ　ＷＥＳＴ　西へ！！多摩地区限定アーティスト1日学校訪問）,大人のための教育プログラム（ガイドスタッフによるギャラリートーク）",",,314,,","江東区民まつり・クルーズ「MOTおもしろプログラム」,ミュージアム・スクール（学校団体による作品鑑賞）,淺井裕介,森千裕,関根直子,内海聖史|石田尚志|泉太郎|山川冬樹,大人のための教育プログラム（ガイドスタッフによるギャラリートーク）",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,本展は人口が1000万人を超え、世界有数の都市として知られている「東京」をテーマとし、6人の新進作家を取り上げた。東京のイメージは、メディアによって画一化されている側面も否めないが、19世紀に写真技術が輸入されてから、多くの写真師､写真家によって記録、表現されてきた。実際には人々が生活し、変化し続ける多様な場でもある東京を、現代の写真家たちはいかに描くのか。本展は6人の新進作家による「今」の東京を提示した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,本展は人口が1000万人を超え、世界有数の都市として知られている「東京」をテーマとし、6人の新進作家を取り上げた。東京のイメージは、メディアによって画一化されている側面も否めないが、19世紀に写真技術が輸入されてから、多くの写真師､写真家によって記録、表現されてきた。実際には人々が生活し、変化し続ける多様な場でもある東京を、現代の写真家たちはいかに描くのか。本展は6人の新進作家による「今」の東京を提示した。,http://topmuseum.jp/contents/exhibition/index-2568.html,,,総合開館20周年記念事業　東京・TOKYO　日本の新進作家vol.13,,
,,,,,,,,,,,,,,,,1,,総合開館20周年記念／収蔵映像展として開催。アピチャッポン・ウィーラセタクンは、国際的に活躍する、タイ出身の映像作家・映画監督であり、タイの東北地方を舞台に、伝説や民話、個人的な森の記憶や夢などの題材から、静謐かつ叙情的な映像作品を制作し続けてきた。アピチャッポンは、写真やフィルム、ヴィデオ、インスタレーション、長編映画など多岐にわたる方法で、淡々とした日常のなかから人間の深淵を浮かび上がらせていく一方で、タイの現代社会に関わる移民や格差、政治などの社会問題にも密接に関わった作品を発表してきた。本展覧会では、アピチャッポン作品の重要な要素でもある、目に見えない亡霊＝Ghostをキーワードに、社会的、政治的側面にも焦点をあてながら、東京都写真美術館所蔵の映像コレクションの初期作品から日本初公開となる最新作にいたるまで、幅広い時代の作品を展示した。また1階ホールでは、期間限定［平成28年12月13日（火）~平成29年1月5日（木）］で「アピチャッポン本人が選ぶ短編集」として、短編25作品4プログラムの上映会を開催し、これまで発表される機会の少ない短編作品を紹介し、展覧会と相互に補完しあう貴重な機会となった。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,総合開館20周年記念／収蔵映像展として開催。アピチャッポン・ウィーラセタクンは、国際的に活躍する、タイ出身の映像作家・映画監督であり、タイの東北地方を舞台に、伝説や民話、個人的な森の記憶や夢などの題材から、静謐かつ叙情的な映像作品を制作し続けてきた。アピチャッポンは、写真やフィルム、ヴィデオ、インスタレーション、長編映画など多岐にわたる方法で、淡々とした日常のなかから人間の深淵を浮かび上がらせていく一方で、タイの現代社会に関わる移民や格差、政治などの社会問題にも密接に関わった作品を発表してきた。本展覧会では、アピチャッポン作品の重要な要素でもある、目に見えない亡霊＝Ghostをキーワードに、社会的、政治的側面にも焦点をあてながら、東京都写真美術館所蔵の映像コレクションの初期作品から日本初公開となる最新作にいたるまで、幅広い時代の作品を展示した。また1階ホールでは、期間限定［平成28年12月13日（火）~平成29年1月5日（木）］で「アピチャッポン本人が選ぶ短編集」として、短編25作品4プログラムの上映会を開催し、これまで発表される機会の少ない短編作品を紹介し、展覧会と相互に補完しあう貴重な機会となった。,http://topmuseum.jp/contents/exhibition/index-2572.html,,,"総合開館20周年記念事業　アピチャッポン・ウィーラセタクン 亡霊たち",,
,,,,,,,,,,,,,,,,1,,"総合開館20周年記念展覧会として開催。「知られざる日本写真開拓史」シリーズは、日本全国の美術館、博物館、資料館等の公開機関を有する施設が管理する幕末～明治期の写真・資料を調査し、体系化する試みとして、平成18年度の「関東編」を皮切りに隔年で4回に渡って地方編を開催した。本展は、「総集編」として、これを締めくくる。出品作品および資料は、当館収蔵作品および協力機関である日本大学芸術学部の収蔵作品のほか、日本全国の公開機関を持つ施設へ収蔵調査によって選ばれた作品で構成。イメージではなく「物」として存在するオリジナルとともに、台紙裏面のデザインを鑑賞できる立体的な展示や写真帖の全内容を投影展示するほか、写真に関わる版画、写真機材、書簡などを一堂に会して紹介した。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"総合開館20周年記念展覧会として開催。「知られざる日本写真開拓史」シリーズは、日本全国の美術館、博物館、資料館等の公開機関を有する施設が管理する幕末～明治期の写真・資料を調査し、体系化する試みとして、平成18年度の「関東編」を皮切りに隔年で4回に渡って地方編を開催した。本展は、「総集編」として、これを締めくくる。出品作品および資料は、当館収蔵作品および協力機関である日本大学芸術学部の収蔵作品のほか、日本全国の公開機関を持つ施設へ収蔵調査によって選ばれた作品で構成。イメージではなく「物」として存在するオリジナルとともに、台紙裏面のデザインを鑑賞できる立体的な展示や写真帖の全内容を投影展示するほか、写真に関わる版画、写真機材、書簡などを一堂に会して紹介した。
",http://topmuseum.jp/contents/exhibition/index-2576.html,"【収蔵展】総合開館20周年記念事業 夜明けまえ 知られざる日本写真開拓史 総集編",,"総合開館20周年記念事業 夜明けまえ 知られざる日本写真開拓史　総集編",,
,,,,,,,,,,,,,,,,1,,"◆　東京芸術劇場コンサートオペラvol．4　モーツァルト／歌劇『コジ・ファン・トゥッテ』
リニューアルオーブン後の新シリーズ。シアターオペラ・シリーズにコンサート形式のオペラ公演をラインナップに加え、年間2回、高品質かつ独自性の高いオペラ公演を行うことにより、地域のオペラファンの期待に応える。今回はミューザ川崎シンフォニーホールとの共同制作で『コジ・ファン・トゥッテ』を取り上げ、欧米を代表する豪華ソリストによる貴重な上演として多くの音楽関係者から大変高い評価を得る公演となった。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"◆　東京芸術劇場コンサートオペラvol．4　モーツァルト／歌劇『コジ・ファン・トゥッテ』
リニューアルオーブン後の新シリーズ。シアターオペラ・シリーズにコンサート形式のオペラ公演をラインナップに加え、年間2回、高品質かつ独自性の高いオペラ公演を行うことにより、地域のオペラファンの期待に応える。今回はミューザ川崎シンフォニーホールとの共同制作で『コジ・ファン・トゥッテ』を取り上げ、欧米を代表する豪華ソリストによる貴重な上演として多くの音楽関係者から大変高い評価を得る公演となった。",http://www.geigeki.jp/performance/concert092/,,,コンサートオペラシリーズ　モーツァルト／歌劇『コジ･ファン･トゥッテ』,,
,,,,,,,,,,,,,,,,1,,"◆　全国共同制作プロジェクト　東京芸術劇場シアターオペラvol．10プッチーニ／歌劇『蝶々夫人』
　コンサート専用のホールで、音楽面と演劇面のドラマ性を重視したセミステージ形式のオペラを製作し、オペラ上演とホール利用の新たな可能性を示してきたシアターオペラシリーズ。第10回は、全国4都市の共同制作としてプッチーニ『蝶々夫人』を取り上げた。指揮にミヒャエル・バルケ氏、演出、笈川ヨシ氏による昭和初期に設定を置き換え、ドラマ性を重視した新しい『蝶々夫人』を新制作した。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"◆　全国共同制作プロジェクト　東京芸術劇場シアターオペラvol．10プッチーニ／歌劇『蝶々夫人』
　コンサート専用のホールで、音楽面と演劇面のドラマ性を重視したセミステージ形式のオペラを製作し、オペラ上演とホール利用の新たな可能性を示してきたシアターオペラシリーズ。第10回は、全国4都市の共同制作としてプッチーニ『蝶々夫人』を取り上げた。指揮にミヒャエル・バルケ氏、演出、笈川ヨシ氏による昭和初期に設定を置き換え、ドラマ性を重視した新しい『蝶々夫人』を新制作した。
",http://www.geigeki.jp/performance/concert099/,,"2,921",シアターオペラシリーズ　プッチーニ／歌劇『蝶々夫人』,,
,,,,,,,,,,,,,,,,1,,"【事業概要】
開催期間　　平成28年（2016年）11月15日（火）～20日（日）
会　　場　　環状第２号線　新虎通り（愛宕下通り～日比谷通り間）および虎ノ門ヒルズ
主　　催　　 東京都、アーツカウンシル東京（公益財団法人東京都歴史文化財団）、東京 新虎まつり実行委員会
［一般社団法人新虎通りエリアマネジメント、株式会社クオラス］
補　　助　　JLOP（経済産業省）
後　　援　　新虎通りエリアマネジメント協議会
特別協力　　特別区全国連携プロジェクト（東京23区・特別区長会）
協　　力　　東北六魂祭実行委員会、港区
参加者数　　延べ30,000人

【事業趣旨（目的）】
　東京を代表する都市空間、新橋・虎ノ門エリアを舞台に、東京や東北などの持つ文化の魅力を世界に向けて発信し、東北の復興および地方創生に貢献するとともに、文化の祭典でもある2020年大会への期待と気運を高めることに繋げていくことを目的とする。

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"【事業概要】
開催期間　　平成28年（2016年）11月15日（火）～20日（日）
会　　場　　環状第２号線　新虎通り（愛宕下通り～日比谷通り間）および虎ノ門ヒルズ
主　　催　　 東京都、アーツカウンシル東京（公益財団法人東京都歴史文化財団）、東京 新虎まつり実行委員会
［一般社団法人新虎通りエリアマネジメント、株式会社クオラス］
補　　助　　JLOP（経済産業省）
後　　援　　新虎通りエリアマネジメント協議会
特別協力　　特別区全国連携プロジェクト（東京23区・特別区長会）
協　　力　　東北六魂祭実行委員会、港区
参加者数　　延べ30,000人

【事業趣旨（目的）】
　東京を代表する都市空間、新橋・虎ノ門エリアを舞台に、東京や東北などの持つ文化の魅力を世界に向けて発信し、東北の復興および地方創生に貢献するとともに、文化の祭典でもある2020年大会への期待と気運を高めることに繋げていくことを目的とする。

",https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/shintora/13715/,"東北六魂祭パレード,東北×東京フェスタ,Japan Culture Future Forum　－ 先端クリエイターによるトークセッション －,Taste of TOHOKU,MINATO 70th × TOHOKU PARK",",,150,,","東北六魂祭パレード,仙台七夕飾りの展示装飾／総合インフォメーション／東北６市（県）の観光情報カウンター|ステージイベント|伝統工芸ワークショップ|東北６県および東京都のPR ブース,オープニングトーク|トークセッション１　「CG はいかに「映像業界」の外へ拡張できるのか」|トークセッション2　「ゲームクリエイティヴ＆ビヨンド ～VR とゲームエンジンがもたらす創造の拡張～」,Taste of TOHOKU,MINATO 70th × TOHOKU PARK",,
,,,,,,,,,,,,,,,,1,,"開催日　　平成28年（2016年）10月７日（金）～９日（日）

会　　場　　日本橋エリア（コレド室町／福徳の森周辺　ほか）

主　　催　　 東京都、アーツカウンシル東京（公益財団法人東京都歴史文化財団）、日本橋文化交流フェスティバル実行委員会［日本橋北詰商店会、名橋「日本橋」保存会、室町一丁目会、室町二丁目町会、一
般社団法人日本橋室町エリアマネジメント、三井不動産株式会社］

後　　援　　中央区、中央区観光協会

協　　力　　日本橋地域ルネッサンス100年計画委員会

参加者数　　延べ約18,440人

【事業趣旨（目的）】
東京ならではの独自性や多様性を追求しながら、伝統文化の魅力を国内外に発信し、江戸の文化の発信地であり五街道の起点として栄えた日本橋で、多くの人々が気軽に伝統文化を体験できるフェスティバルを開催する。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"開催日　　平成28年（2016年）10月７日（金）～９日（日）

会　　場　　日本橋エリア（コレド室町／福徳の森周辺　ほか）

主　　催　　 東京都、アーツカウンシル東京（公益財団法人東京都歴史文化財団）、日本橋文化交流フェスティバル実行委員会［日本橋北詰商店会、名橋「日本橋」保存会、室町一丁目会、室町二丁目町会、一
般社団法人日本橋室町エリアマネジメント、三井不動産株式会社］

後　　援　　中央区、中央区観光協会

協　　力　　日本橋地域ルネッサンス100年計画委員会

参加者数　　延べ約18,440人

【事業趣旨（目的）】
東京ならではの独自性や多様性を追求しながら、伝統文化の魅力を国内外に発信し、江戸の文化の発信地であり五街道の起点として栄えた日本橋で、多くの人々が気軽に伝統文化を体験できるフェスティバルを開催する。",https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/nihonbashi/14591/,"熈代ステージ,伝統体験塾,日本橋 技あり体験熈代屋台,まちなか伝統パフォーマンス,伝統芸能公演「紅葉 日本橋～日本美と伝統芸能の饗宴～」","10,310,151,145,7,510,324","熈代ステージ,伝統体験塾,日本橋 技あり体験熈代屋台,まちなか伝統パフォーマンス,伝統芸能公演「紅葉 日本橋～日本美と伝統芸能の饗宴～」",,
,,,,,,,,,,,,,,,,1,,毎年恒例の世界報道写真展。前年に世界中で撮影、報道された写真を対象にした世界報道写真コンテンストが、オランダのアムステルダムで開催され、今年は世界各地の6千人近いフォトグラファーが8万点を超える作品を応募した。本展では、その中から選ばれた大賞など約150点の入賞作品を紹介し、世界中でのべ350万人の来場者を集めた。今年の大賞は月明かりの下、セルビアとハンガリーの国境を越えようとする難民の男性と子どもを撮影したオーストラリアのウォーレン・リチャードソンの作品。世界を駆け巡ったニュースや現代写真が抱える問題、スポーツの決定的瞬間など、同じ時代を生きる人たちの、普段目にすることが少ない現実を写真から知ることのできる貴重な展覧会となった。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,毎年恒例の世界報道写真展。前年に世界中で撮影、報道された写真を対象にした世界報道写真コンテンストが、オランダのアムステルダムで開催され、今年は世界各地の6千人近いフォトグラファーが8万点を超える作品を応募した。本展では、その中から選ばれた大賞など約150点の入賞作品を紹介し、世界中でのべ350万人の来場者を集めた。今年の大賞は月明かりの下、セルビアとハンガリーの国境を越えようとする難民の男性と子どもを撮影したオーストラリアのウォーレン・リチャードソンの作品。世界を駆け巡ったニュースや現代写真が抱える問題、スポーツの決定的瞬間など、同じ時代を生きる人たちの、普段目にすることが少ない現実を写真から知ることのできる貴重な展覧会となった。,http://topmuseum.jp/contents/exhibition/index-2580.html,,,"【誘致展】世界報道写真展2016 WORLD PRESS PHOTO 2016",,
