id,Title,開催年度,主催
4972,第57回式能,2016,東京都|公益財団法人東京都歴史文化財団|公益社団法人能楽協会
4973,"第48回東京都民俗芸能大会 ─おどけと笑い─",2016,東京都|公益財団法人東京都歴史文化財団|東京都教育委員会|東京都民族芸能大会実行委員会
4974,アーツカウンシル・フォーラム　オープン・フォーラム2018,2017,アーツカウンシル東京
4976,シンポジウム,2017,国際交流基金アジアセンター|アーツカウンシル東京
4978,第47回都民寄席,2016,東京都|公益財団法人東京都歴史文化財団|都民寄席実行委員会
4979,山口情報芸術センター［YCAM］ワークショップ「Eye2Eye」,2017,国際交流基金アジアセンター|アーツカウンシル東京
4982,山口情報芸術センター［YCAM］ワークショップ「コトバ身体」」,2017,国際交流基金アジアセンター|アーツカウンシル東京
4983,"WSK: Festival of the Recently Possibleワークショップ　「“ 元気グルーブ” − 身近なものからレコードプレーヤーを作ろう！」",2017,国際交流基金アジアセンター|アーツカウンシル東京
4984,"Lifepatchワークショップ　「“ グリッチテープ”―音と映像をつくり出すシンセサイザーを作ろう！」",2017,国際交流基金アジアセンター|アーツカウンシル東京
4985,"「The Real of Liquid Asia ～今、アジアの音楽シーンはどこにあるのか～」",2017,国際交流基金アジアセンター|アーツカウンシル東京
4989,「ヨーロッパと日本におけるメディアアートシーン」,2017,国際交流基金アジアセンター|アーツカウンシル東京
4990,"「 新たな宇宙観をめぐって～マルチバース宇宙論と作品「datum」から～」",2017,国際交流基金アジアセンター|アーツカウンシル東京
4993,参加団体の活動紹介、厚生労働省「障害者文化活動普及支援事業」東京都支援センター「アーツサポ東京」について（社会福祉法人トット基金・佐藤宏美）、意見交換,2017,アーツカウンシル東京
4995,今後の企画実現に向けたディスカッション,2017,アーツカウンシル東京
4996,今後の企画実現に向けたディスカッション,2017,アーツカウンシル東京
5009,"こども芸能体験ひろばin新宿 ～プロが教えてくれる伝統芸能ワークショップ～ 時間Ｂ",2017,東京都|公益財団法人東京都歴史文化財団|こども芸能体験ひろば実行委員会
5011,参加・体験・感動！ふれあいこどもまつり（稲城市）,2017,参加・体験・感動！ふれあいこどもまつり実行委員会|東京都|公益財団法人東京都歴史文化財団
5014,有識者ヒアリング集の編纂,2017,アーツカウンシル東京
5015,振興策について提案したい具体的なテーマの検討、ブレスト,2017,アーツカウンシル東京
5019,振興策の各テーマについて、社会的価値・必要性についてのグループワーク,2017,アーツカウンシル東京
5020,"""・ゲスト講師による芸術振興の変遷や事例についての 講義および意見交換 ・施策案のまとめ作業（理念づくり）""",2017,アーツカウンシル東京
5021,施策案の精査,2017,アーツカウンシル東京
5022,参加・体験・感動！ふれあいこどもまつり（品川区）,2017,参加・体験・感動！ふれあいこどもまつり実行委員会|東京都|公益財団法人東京都歴史文化財団
5023,参加・体験・感動！ふれあいこどもまつり（清瀬市）,2017,参加・体験・感動！ふれあいこどもまつり実行委員会|東京都|公益財団法人東京都歴史文化財団
5024,参加・体験・感動！ふれあいこどもまつり（文京区）,2017,参加・体験・感動！ふれあいこどもまつり実行委員会|東京都|公益財団法人東京都歴史文化財団
5025,参加・体験・感動！ふれあいこどもまつり（立川市）,2017,参加・体験・感動！ふれあいこどもまつり実行委員会|東京都|公益財団法人東京都歴史文化財団
5026,参加・体験・感動！ふれあいこどもまつり（江東区）,2017,参加・体験・感動！ふれあいこどもまつり実行委員会|東京都|公益財団法人東京都歴史文化財団
5027,振興策、施策案の精査,2016,アーツカウンシル東京
