Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
プログラムテストデータ,20,,,,,,,,,
プログラムテストデータ２,68,,,,,,,,,
サブプログラム,208,,,,,,,,,
TOPコレクション東京・TOKYO,273,,2018,,,株式会社資生堂,,タイ王国大使館,,
ワークショップ,274,,2018,,,株式会社資生堂,,タイ王国大使館,,
"プログラム 1",281,,2015,,,,,,,
"プログラム 2",282,,2015,,,,,,,
"プログラム 3",283,,2015,,,,,,,
オフサイト展示・ガイドツアー,323,https://www.yebizo.com/jp/program/detail/11-02,2016,東京都|東京都写真美術館|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
日仏会館ギャラリー,334,https://www.yebizo.com/assets/img/uploads/2016/12/others/ud/161209_Yebizo_press.pdf,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",15,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
レイ・レイ,335,https://www.yebizo.com/jp/program/detail/03-01,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
ガブリエラ・マンガノ＆シルヴァーナ・マンガノ《そこはそこにない》,336,https://www.yebizo.com/jp/program/detail/02-02,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
上映,337,https://www.yebizo.com/2017/jp/program/#screening,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",35,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
オフサイト展示,338,https://www.yebizo.com/jp/program/detail/07-01,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",15,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
豊嶋康子,339,https://www.yebizo.com/jp/program/detail/03-02,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
ロバート・ノース＆アントワネット・デ・ヨング,340,https://www.yebizo.com/jp/program/detail/03-03,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
荒木博志、岡田邦雄、佐々木聖（地域連携プログラム：LIBRAIRIE6）,341,https://www.yebizo.com/jp/program/detail/03-04,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
崟利子,342,https://www.yebizo.com/jp/program/detail/03-05,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
金氏徹平、木ノ下智恵子,344,https://www.yebizo.com/jp/program/detail/03-06,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
澤田知子,345,https://www.yebizo.com/jp/program/detail/03-07,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
森村泰昌,346,https://www.yebizo.com/jp/program/detail/03-08,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
石川卓磨,347,https://www.yebizo.com/jp/program/detail/03-09,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"Ⅰ.YEBIZOナイツ | Side A：マルチプル／アナログ",349,https://www.yebizo.com/jp/program/detail/08-01,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"Ⅱ. YEBIZOナイツ｜ Side B：マルチプル／キカイ",350,https://www.yebizo.com/jp/program/detail/08-02,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"【総合開館20周年記念事業 第９回恵比寿映像祭】笹本晃《デリケート・サイクル》",351,https://www.yebizo.com/assets/img/uploads/2016/12/others/ud/161209_Yebizo_press.pdf,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社,,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""１"";s:6:""備考"";s:0:"""";}"
"シンポジウム ［日仏会館 共催企画］ シネマトグラフ日本伝来 ――稲畑勝太郎とリュミ エール",352,https://www.yebizo.com/jp/program/detail/05-03,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"A.「マルチプルな未来」へ Part 1：芸術とスペキュラティヴ・コモンズ",353,https://www.yebizo.com/jp/program/detail/05-01,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"B.「マルチプルな未来」へ Part 2：マージナルな映像アーカイヴィングの可能性",354,https://www.yebizo.com/jp/program/detail/05-02,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"C.イヴォンヌ・レイナーをめぐって ――ポストモダンダンスと映像の間",355,https://www.yebizo.com/jp/program/detail/06-01,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"D.スーザン・ソンタグ ――その思考と生き方に学ぶ",356,https://www.yebizo.com/jp/program/detail/06-02,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
地域連携プログラム,357,https://www.yebizo.com/2017/jp/program/#rcp,2016,,,,,,14,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"「YEBIZO MEETS」Ⅱ 地域発信トーク：伊東建築塾",358,https://www.yebizo.com/jp/program/detail/10-02,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"「YEBIZO MEETS」Ⅲ リンクセッション：オーストリア大使館・オーストリア文化フォーラム",359,https://www.yebizo.com/jp/program/detail/10-03,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"「YEBIZO MEETS」Ⅳ 地域連携発信 特別イヴェント 「ダンス保育園！！」",360,https://www.yebizo.com/jp/program/detail/10-04,2016,"ダンス保育園 ! ! 実行委員会",,,"COMMON EBISU|イべント託児マザーズ",,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
地域連携プログラム※削除,361,,2016,,,,,,14,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】アール・デコの花弁　旧朝香宮邸の室内空間sample,368,https://www.teien-art-museum.ne.jp/exhibition/160922-1225_artdeco.html,2016,,,,,,89,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""67646"";s:6:""備考"";s:0:"""";}"
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】ギャラリートークsample,370,https://www.teien-art-museum.ne.jp/exhibition/160922-1225_artdeco.html,2016,,,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:6:""105人"";}"
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】トークイベント「昭和の美術タイルと旧朝香宮邸」sample,372,https://www.teien-art-museum.ne.jp/programs/tatemono_talk.html,2016,,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:5:""28人"";}"
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】トークイベント「ディテールのアール・デコ　旧朝香宮邸の室内空間」sample,373,https://www.teien-art-museum.ne.jp/programs/tatemono_talk02.html,2016,,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:5:""36人"";}"
尺八（9月24日）,375,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""703"";s:6:""備考"";s:0:"""";}"
奇術・落語（9月25日）,376,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""868"";s:6:""備考"";s:0:"""";}"
筝・尺八（10月1日）,377,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1211"";s:6:""備考"";s:0:"""";}"
太神楽・落語（10月2日）,378,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1002"";s:6:""備考"";s:0:"""";}"
尺八・津軽三味線（10月8日）,379,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1031"";s:6:""備考"";s:0:"""";}"
紙切り・落語（10月9日）,380,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1184"";s:6:""備考"";s:0:"""";}"
津軽三味線（10月10日）,381,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""948"";s:6:""備考"";s:0:"""";}"
津軽三味線（10月15日）,382,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""762"";s:6:""備考"";s:0:"""";}"
奇術・落語（10月16日）,383,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""858"";s:6:""備考"";s:0:"""";}"
津軽三味線（10月22日）,384,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""924"";s:6:""備考"";s:0:"""";}"
綱島家年中行事,386,,2016,江戸東京たてもの園,,,,,20,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:27:""人数は把握できない"";}"
武蔵野の歴史と考古学－江戸東京たてもの園収蔵品展－,387,,2016,江戸東京たてもの園,,,,,93,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:87:""平成28年5月24日（火）～平成29年1月22日（日） 入園者数：145,549人"";}"
川崎平右衛門－武蔵野新田開発の立役者,388,http://www.tatemonoen.jp/special/2017/170207.php,2016,江戸東京たてもの園|東京都,府中市|小金井市,,,,48,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:24:""入園者数：32,494人"";}"
体験！発見！職人さん,389,http://www.tatemonoen.jp/event/info/2016/10.php,2016,江戸東京たてもの園,,,,,79,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:42:""参加者数 1,475人（当日来園者）"";}"
紅葉とたてもののライトアップ,390,http://www.tatemonoen.jp/event/info/2016/11.php,2016,江戸東京たてもの園,,,小金井市商工会,,12,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:42:""参加者数 6,774人（当日来園者）"";}"
正月飾りづくり,392,,2016,江戸東京たてもの園,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:17:""参加者数32人"";}"
たてもの園フェスティバル,394,http://www.tatemonoen.jp/event/info/2017/03.php,2016,江戸東京たてもの園,,,,,8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:20:""入園者数2,207人"";}"
伝統工芸の実演,395,,2016,江戸東京たてもの園,,,,,14,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:27:""人数は把握できない"";}"
パブリック・ミーティング,397,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html#tabs=tabs-3,2016,東京都現代美術館|アーツカウンシル東京|東京都,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:6:""125人"";}"
旧駄菓子屋,401,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html,2016,東京都現代美術館|アーツカウンシル東京|東京都,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,23,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2272"";s:6:""備考"";s:0:"""";}"
グランチェスター・ハウス,402,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html,2016,東京都現代美術館|アーツカウンシル東京,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,23,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2790"";s:6:""備考"";s:0:"""";}"
