Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
発表会「ほくさい音楽博」,4652,https://www.artscouncil-tokyo.jp/ja/events/25136/,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト,,"東京東信用金庫|回向院|J:COMすみだ・台東|-両国- 江戸NOREN|国技館通り商店会",陸奥部屋|すみだトリフォニーホール|株式会社ルネサンス,墨田区教育委員会|一般社団法人墨田区観光協会,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1963"";s:6:""備考"";s:0:"""";}"
"日本バレエ協会公演 「ラ・バヤデール」全幕",4655,https://tomin-fes.com/archive/images/2017_pamphlet.pdf,2016,東京都|公益財団法人東京都歴史文化財団|公益社団法人日本バレエ協会,,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""5764"";s:6:""備考"";s:0:"""";}"
みまもり隊,4656,https://www.artscouncil-tokyo.jp/ja/events/24901/,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト,,,,,7,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""105"";s:6:""備考"";s:0:"""";}"
[2017]障害のある方のための特別鑑賞会,4663,,2017,東京都美術館,,,,,8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""4615"";s:6:""備考"";s:0:"""";}"
"ワークショップ inしょうぶまつり",4664,,2017,東京都|アーツカウンシル東京|東京藝術大学音楽学部・大学院国際芸術創造研究科|特定非営利活動法人音まち計画|足立区,,,"足立区立千寿第八小学校|足立区立西新井第二小学校PTA|おかめひょっとこ元気連|ガーディ アンシップ北千住|千住関屋町町会|千住仲町会|千寿リーグ|タカラ湯|菜の花楽団|魚三商店|タコテ座|千住囃子連中|愛ちゃん|東武鉄道株式会社|仲町竹田",,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""450"";s:6:""備考"";s:0:"""";}"
[2017]教員向け研修プログラムの実施,4666,,2017,東京都美術館,,,,,46,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""812"";s:6:""備考"";s:0:"""";}"
東京バレエ団＜ウィンター・ガラ＞,4667,https://tomin-fes.com/archive/images/2017_pamphlet.pdf,2016,東京都|公益財団法人東京都歴史文化財団|公益財団法人日本舞台芸術振興会,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""3901"";s:6:""備考"";s:0:"""";}"
[2017]学校団体来館の対応（免除申請・電話相談・当日対応）,4668,,2017,東京都美術館,,,,,134,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""3958"";s:6:""備考"";s:0:"""";}"
東京ニコス体験会,4669,https://www.artscouncil-tokyo.jp/ja/events/20103/,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""29"";s:6:""備考"";s:0:"""";}"
"Maker Faire Tokyo 2017 出展",4670,,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""759"";s:6:""備考"";s:0:"""";}"
"東京Orchest-Lab 活動日",4672,,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト,,,,,19,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
[2017]とびラーなど学び合いの環境整備,4675,,2017,東京都美術館,,,,,270,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1663"";s:6:""備考"";s:0:"""";}"
"Relight Days",4676,https://www.artscouncil-tokyo.jp/ja/events/25932/,2017,東京都|アーツカウンシル東京|NPO法人インビジブル,,,"株式会社テレビ朝日|森ビル株式会社|みやちよう|スターバックス・コーヒー TSUTAYA TOKYO ROPPONGI店|MEDIA AMBITION TOKYO|港区立笄小学校",,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""170"";s:6:""備考"";s:0:"""";}"
"Relight Committee",4677,https://www.artscouncil-tokyo.jp/ja/events/23741/,2017,東京都|アーツカウンシル東京|NPO法人インビジブル,,,"株式会社テレビ朝日|森ビル株式会社|みやちよう|スターバックス・コーヒー TSUTAYA TOKYO ROPPONGI店|MEDIA AMBITION TOKYO|港区立笄小学校",,9,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""34"";s:6:""備考"";s:0:"""";}"
"[2017]東京都リーディングプロジェクト TURN FES",4678,,2017,"東京都|アーツカウンシル東京|東京都美術館|公益財団法人東京都歴史文化財団|特定非営利活動法人Art’s Embrace",,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2300"";s:6:""備考"";s:0:"""";}"
