ID,Title,"Tokyo FESTIVALの分類",WEBサイトのアドレス,概要,対象,会場(投稿),会場の所属する自治体,会場の存在する自治体名,主催,協賛,協力,後援,申請自治体,開催年度,"単日/複数日 - 期間",開催時間,開催日数（展覧会・公演）,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,料金,出演者数／出展アーティスト数／登壇者数等,出演者数／出展アーティスト数／登壇者数等（外国人）,ジャンル,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,多言語対応（例）音声ガイドの多言語化,多言語対応（例）キャプション・字幕の多言語化,多言語対応（例）その他の多言語化,多言語対応（例）その他の多言語化（内容）,バリアフリー対応の有無,バリアフリー対応策（例）,バリアフリー対応策（例）その他,組織委員会の認証の有無,画像等データの有無,画像,動画URL,関連プログラム名,決算額_year,決算額_price,期間_date,期間_date_to,単日/複数日_date,国_country,国_num
1635,別展「江戸と北京」関連講座③日本に招来された清朝陶磁器,1,,"<p class=""p1"">[実施日]平成<span class=""s1"">29</span>年3月22日（木）</p>
<p class=""p1"">[会場]江戸東京博物館(ホール、会議室)</p>
<p class=""p1"">[受講料]一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
<p class=""p1"">[講師]<span style=""font-size: 1rem;"">堀内 秀樹</span></p>
<p class=""p1"">[受講者数]73人</p>",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館|中国文物交流中心|故宮博物院|首都博物館|朝日新聞社,,黄山美術社|全日本空輸株式会社,外務省|中国大使館|中国人民対外友好協会,,2016,2016,,単日/複数日,20170322,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""73"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,無し,,,,なし,,,「江戸と北京-18世紀の都市と暮らし」展,,,,
1636,新・日本建築家列伝「フランク・ロイド・ライトと日本」②ライトからの贈り物をいきいきと受け継いで～自由学園明日館の動態保存～,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月23日（木）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]有賀 寛

[受講者数]120人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170323,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""120"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1637,江戸幕府の最高権力者徳川将軍③歴代将軍の「妻妾」,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月24日（金）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]近松 鴻二

[受講者数]271人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170324,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""271"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1639,"「能公演 ・藤戸」公益財団法人能楽協会の企画制作による公演",1,http://www.edo-tokyo-museum.or.jp/event/other-event/13431/伝統芸能フォーラム%E3%80%80能%E3%80%80宝生流「藤戸ふじと」/1/,"伝統芸能の発展と継承を目指し、多くの都民が伝統芸能に親しむ機会を提供することを目的として、能楽公演を開催した。

期日：平成28年12月3日(土)
会場：江戸東京博物館1階ホール
主催：公益財団法人東京都歴史文化財団 東京都江戸東京博物館

内容：宝生流「藤戸」

第一部解説・謡体験
第二部能宝生流「藤戸」

出演:今井泰行【前シテ・後シテ】、舘田善博【ワキ】、御厨誠吾【ワキツレ】、
野口野弘【ワキツレ】、山本則秀【アイ】他

入場料：2,000円(高校生以下1,000円)

参加者数：259人",,"東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20161203,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""13:00:00"";s:7:""time_to"";s:8:""14:55:00"";s:10:""time_bikou"";s:22:""（12時30分開場）"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""259"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:52:""<p>全席自由2,000円 高校生以下1,000円</p>
"";}",5,,伝統芸能（歌舞伎・能等）,有り,,,英語,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1640,「狂言・附子、居杭」公益財団法人能楽協会の企画制作による公演,1,http://www.edo-tokyo-museum.or.jp/event/other-event/13450/伝統芸能フォーラム%E3%80%80狂言%E3%80%80大蔵流「附子ぶす」/1/,"伝統芸能の発展と継承を目指し、多くの都民が伝統芸能に親しむ機会を提供することを目的として、能楽公演を開催した。

期日：平成28年12月4日(日)
会場：江戸東京博物館1階ホール
主催：公益財団法人東京都歴史文化財団 東京都江戸東京博物館

内容：
第一部解説・狂言大蔵流「附子」
第二部狂言大蔵流「居杭」

出演:善竹富太郎【シテ】、小梶直人【アド】、善竹大二郎【アド】、吉田信海【後見】他

入場料：2,000円(高校生以下1,000円)

参加者数：224人",,"東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20161204,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""15:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:22:""（14時30分開場）"";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""224"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:52:""<p>全席自由2,000円 高校生以下1,000円</p>
"";}",4,,伝統芸能（歌舞伎・能等）,有り,,,英語,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1642,国際交流事業（第15回日中韓博物館国際シンポジウム）,1,,"第15回日中韓博物館国際シンポジウム
日時：平成28年10月11日・12日
会場：瀋陽故宮博物院
シンポジウムの共通テーマ：「博物館発展途上中における文化創意的なオリジナルグッズの役目」
発表本数：計8本

＜報告類型：共通テーマ＞
所属：江戸東京博物館
発表者：坂井貴子
テーマ：ミュージアムにおけるオリジナルグッズの意義と可能性

所属：北京首都博物館
発表者：[中国]龍 霄飛
テーマ：博物館文化アイデア商品の研究開発に関する一考察

所属：北京首都博物館
発表者：[中国]斉 密雲
テーマ：文化アイデア及び商品が博物館発展においての役割─首都博物館を事例に

所属：瀋陽故宮博物院
発表者：[中国]蘇 陽
テーマ：所属文物と文化アイデア商品で大衆の知的欲求を満たす
─瀋陽故宮博物院の文化アイデア商品を例として─

所属：瀋陽故宮博物院
発表者：[中国]車 氷氷
テーマ：文化新政での博物館発展の新しい機会を論じる

所属：ソウル歴史博物館
発表者：[韓国]姜 海殷
テーマ：都市文化を基盤とした博物館文化商品開発及び活性化方案

＜報告類型：自由論題＞

所属：江戸東京博物館
発表者：市川寛明
テーマ：学説としての展示模型─展示模型の限界とその克服のために

所属：ソウル歴史博物館
発表者：[韓国]韓 恩煕
テーマ：ソウルの記憶と博物館展示─清渓川博物館を事例とする",,瀋陽故宮博物院,,,東京都江戸東京博物館|北京首都博物館|ソウル市立歴史博物館|瀋陽故宮博物院,,,,,2016,2016,,単日/複数日,"20161011,20161012","a:1:{s:4:""time"";b:0;}",2,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",8,6,講演会・シンポジウム|国際交流イベント,無し,,,,,,無し,,,なし,なし,,,,20161011,20161012,"韓国,中国","2,4"
1650,曲独楽・落語（10月23日）,1,,"伝統芸能の継承・普及及び常設展示室の賑わいの演出を目的に、常設展示室5階中村座前で、落語、漫才、紙切り、かっぽれ、太神楽、邦楽、ジャグリング、曲芸などを実演する「えどはく寄席」のプログラムのうちの以下の事業を実施した。

日付：2016/10/23
演目：曲独楽・落語
出演者：やなぎ南玉・桂歌助
観客数：862",,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20161023,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""862"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:44:""<p>常設展示室の観覧料が必要</p>
"";}",2,,演芸（落語・漫才等）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1651,筝（10月29日）,1,,"伝統芸能の継承・普及及び常設展示室の賑わいの演出を目的に、常設展示室5階中村座前で、落語、漫才、紙切り、かっぽれ、太神楽、邦楽、ジャグリング、曲芸などを実演する「えどはく寄席」のプログラムのうちの以下の事業を実施した。

日付：2016/10/29
演目：筝
出演者：渡部祐子・伊藤江里菜
観客数：798",,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20161029,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""798"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:44:""<p>常設展示室の観覧料が必要</p>
"";}",2,,演芸（落語・漫才等）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1652,太神楽・落語（10月30日）,1,,"伝統芸能の継承・普及及び常設展示室の賑わいの演出を目的に、常設展示室5階中村座前で、落語、漫才、紙切り、かっぽれ、太神楽、邦楽、ジャグリング、曲芸などを実演する「えどはく寄席」のプログラムのうちの以下の事業を実施した。

日付：2016/10/30
演目：太神楽・落語
出演者：鏡味初音・三遊亭春馬
観客数：982",,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""982"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:55:""<p class=""p1"">常設展示室の観覧料が必要</p>
"";}",2,,演芸（落語・漫才等）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1653,尺八・津軽三味線（11月3日）,1,,"伝統芸能の継承・普及及び常設展示室の賑わいの演出を目的に、常設展示室5階中村座前で、落語、漫才、紙切り、かっぽれ、太神楽、邦楽、ジャグリング、曲芸などを実演する「えどはく寄席」のプログラムのうちの以下の事業を実施した。

日付：2016/11/3
演目：尺八・津軽三味線
出演者：田嶋謙一・白田路明
観客数：892",,"東京都江戸東京博物館 - 5F 常設展示室 中村座前",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20161103,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""892"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:55:""<p class=""p1"">常設展示室の観覧料が必要</p>
"";}",2,,演芸（落語・漫才等）,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
