Title,id,WEBサイトのアドレス,開催年度,"単日/複数日 - 期間",開催時間,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,主催,共催,協賛,協力,後援,期間_date,期間_date_to,単日/複数日_date
プログラムテストデータ,20,,,,,,,,,,,,,,
プログラムテストデータ２,68,,,,,,,,,,,,,,
サブプログラム,208,,,,,,,,,,,,,,
TOPコレクション東京・TOKYO,273,,2018,期間,"a:1:{s:4:""time"";b:0;}",,,,,株式会社資生堂,,タイ王国大使館,20181213,20190129,
ワークショップ,274,,2018,期間,"a:1:{s:4:""time"";b:0;}",,,,,株式会社資生堂,,タイ王国大使館,20181213,20190129,
"プログラム 1",281,,2015,単日/複数日,"a:1:{s:4:""time"";b:0;}",,,,,,,,,,
"プログラム 2",282,,2015,単日/複数日,"a:1:{s:4:""time"";b:0;}",,,,,,,,,,
"プログラム 3",283,,2015,単日/複数日,"a:1:{s:4:""time"";b:0;}",,,,,,,,,,
オフサイト展示・ガイドツアー,323,https://www.yebizo.com/jp/program/detail/11-02,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|東京都写真美術館|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,"20170211,20170225"
日仏会館ギャラリー,334,https://www.yebizo.com/assets/img/uploads/2016/12/others/ud/161209_Yebizo_press.pdf,2016,期間,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:20:""最終日18:00まで"";}}}",15,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,
レイ・レイ,335,https://www.yebizo.com/jp/program/detail/03-01,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170210
ガブリエラ・マンガノ＆シルヴァーナ・マンガノ《そこはそこにない》,336,https://www.yebizo.com/jp/program/detail/02-02,2016,期間,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""17:30:00"";s:7:""time_to"";s:8:""18:00:00"";s:10:""time_bikou"";s:0:"""";}}}",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,
上映,337,https://www.yebizo.com/2017/jp/program/#screening,2016,期間,"a:1:{s:4:""time"";b:0;}",35,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,
オフサイト展示,338,https://www.yebizo.com/jp/program/detail/07-01,2016,期間,"a:1:{s:4:""time"";b:0;}",15,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,
豊嶋康子,339,https://www.yebizo.com/jp/program/detail/03-02,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170211
ロバート・ノース＆アントワネット・デ・ヨング,340,https://www.yebizo.com/jp/program/detail/03-03,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170212
荒木博志、岡田邦雄、佐々木聖（地域連携プログラム：LIBRAIRIE6）,341,https://www.yebizo.com/jp/program/detail/03-04,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170214
崟利子,342,https://www.yebizo.com/jp/program/detail/03-05,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170219
金氏徹平、木ノ下智恵子,344,https://www.yebizo.com/jp/program/detail/03-06,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170221
澤田知子,345,https://www.yebizo.com/jp/program/detail/03-07,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170224
森村泰昌,346,https://www.yebizo.com/jp/program/detail/03-08,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170225
石川卓磨,347,https://www.yebizo.com/jp/program/detail/03-09,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170212,20170226
"Ⅰ.YEBIZOナイツ | Side A：マルチプル／アナログ",349,https://www.yebizo.com/jp/program/detail/08-01,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:8:""20:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170224
"Ⅱ. YEBIZOナイツ｜ Side B：マルチプル／キカイ",350,https://www.yebizo.com/jp/program/detail/08-02,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:8:""20:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170225
"【総合開館20周年記念事業 第９回恵比寿映像祭】笹本晃《デリケート・サイクル》",351,https://www.yebizo.com/assets/img/uploads/2016/12/others/ud/161209_Yebizo_press.pdf,2016,期間,"a:1:{s:4:""time"";b:0;}",3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""１"";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社,,,,,20170210,20170212,
"シンポジウム ［日仏会館 共催企画］ シネマトグラフ日本伝来 ――稲畑勝太郎とリュミ エール",352,https://www.yebizo.com/jp/program/detail/05-03,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:8:""20:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170217
"A.「マルチプルな未来」へ Part 1：芸術とスペキュラティヴ・コモンズ",353,https://www.yebizo.com/jp/program/detail/05-01,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170218
"B.「マルチプルな未来」へ Part 2：マージナルな映像アーカイヴィングの可能性",354,https://www.yebizo.com/jp/program/detail/05-02,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:8:""20:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170218
"C.イヴォンヌ・レイナーをめぐって ――ポストモダンダンスと映像の間",355,https://www.yebizo.com/jp/program/detail/06-01,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170219
"D.スーザン・ソンタグ ――その思考と生き方に学ぶ",356,https://www.yebizo.com/jp/program/detail/06-02,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170226
地域連携プログラム,357,https://www.yebizo.com/2017/jp/program/#rcp,2016,期間,"a:1:{s:4:""time"";b:0;}",14,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",,,,,,20170210,20170226,20170211
"「YEBIZO MEETS」Ⅱ 地域発信トーク：伊東建築塾",358,https://www.yebizo.com/jp/program/detail/10-02,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170211
"「YEBIZO MEETS」Ⅲ リンクセッション：オーストリア大使館・オーストリア文化フォーラム",359,https://www.yebizo.com/jp/program/detail/10-03,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""19:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,20170222
"「YEBIZO MEETS」Ⅳ 地域連携発信 特別イヴェント 「ダンス保育園！！」",360,https://www.yebizo.com/jp/program/detail/10-04,2016,単日/複数日,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""13:00:00"";s:7:""time_to"";s:8:""14:30:00"";s:10:""time_bikou"";s:52:""ダンスパフォーマンス&ワークショップ"";}i:1;a:3:{s:9:""time_from"";s:8:""13:00:00"";s:7:""time_to"";s:8:""16:00:00"";s:10:""time_bikou"";s:27:""工作ワークショップ"";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}","ダンス保育園 ! ! 実行委員会",,,"COMMON EBISU|イべント託児マザーズ",,20170210,20170226,20170225
地域連携プログラム※削除,361,,2016,期間,"a:1:{s:4:""time"";b:0;}",14,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",,,,,,20170210,20170226,
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】アール・デコの花弁　旧朝香宮邸の室内空間sample,368,https://www.teien-art-museum.ne.jp/exhibition/160922-1225_artdeco.html,2016,期間,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""06:00:00"";s:10:""time_bikou"";s:103:""＊ただし11月25日（金）、26日（土） 、27日（日）は夜間開館のため20：00まで"";}}}",89,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""67646"";s:6:""備考"";s:0:"""";}",,,,,,20160922,20161225,
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】ギャラリートークsample,370,https://www.teien-art-museum.ne.jp/exhibition/160922-1225_artdeco.html,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:29:""11月25日（金）18：00～"";}}}",4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:6:""105人"";}",,,,,,20160922,20161225,"20161003,20161017,20161107,20161125"
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】トークイベント「昭和の美術タイルと旧朝香宮邸」sample,372,https://www.teien-art-museum.ne.jp/programs/tatemono_talk.html,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:5:""28人"";}",,,,,,20160922,20161225,20161112
【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】トークイベント「ディテールのアール・デコ　旧朝香宮邸の室内空間」sample,373,https://www.teien-art-museum.ne.jp/programs/tatemono_talk02.html,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:5:""36人"";}",,,,,,20160922,20161225,20161103
尺八（9月24日）,375,,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""703"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,,20160924
奇術・落語（9月25日）,376,,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""868"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,,20160925
筝・尺八（10月1日）,377,,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:0:"""";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1211"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,,20161001
太神楽・落語（10月2日）,378,,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1002"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,,20161002
尺八・津軽三味線（10月8日）,379,,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1031"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,,20161008
紙切り・落語（10月9日）,380,,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1184"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,,20161009
津軽三味線（10月10日）,381,,2016,単日/複数日,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""948"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,,20161010
