Title,id,WEBサイトのアドレス,開催年度,"単日/複数日 - 期間",開催時間,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,主催,共催,協賛,協力,後援,期間_date,期間_date_to,単日/複数日_date
公益財団法人板橋区文化・国際交流財団,4479,,2017,単日/複数日,20171210,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""921"";s:6:""備考"";s:0:"""";}",公益財団法人板橋区文化・国際交流財団,,,,,,
日野市,4481,,2017,単日/複数日,20171217,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""848"";s:6:""備考"";s:0:"""";}",日野市,,,,,,
公益財団法人多摩市文化振興財団,4483,,2017,単日/複数日,20180106,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""572"";s:6:""備考"";s:0:"""";}",公益財団法人多摩市文化振興財団,,,,,,
公益財団法人文京アカデミー,4485,,2017,単日/複数日,20180113,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1624"";s:6:""備考"";s:0:"""";}",公益財団法人文京アカデミー,,,,,,
公益財団法人練馬区文化振興協会,4487,,2017,単日/複数日,20180114,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1381"";s:6:""備考"";s:0:"""";}",公益財団法人練馬区文化振興協会,,,,,,
公益財団法人港区スポーツふれあい文化健康財団,4489,,2017,単日/複数日,20180123,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1344"";s:6:""備考"";s:0:"""";}",公益財団法人港区スポーツふれあい文化健康財団,,,,,,
"葛飾区文化施設指定管理者 株式会社キョードー東京",4491,,2017,単日/複数日,20180203,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""873"";s:6:""備考"";s:0:"""";}",葛飾区文化施設指定管理者|株式会社キョードー東京,,,,,,
公益財団法人目黒区芸術文化振興財団,4493,,2017,単日/複数日,20180203,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1115"";s:6:""備考"";s:0:"""";}",公益財団法人目黒区芸術文化振興財団,,,,,,
"秋川キララホール指定管理者代表団体 株式会社コンベンションリンケージ",4495,,2017,単日/複数日,20180224,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""472"";s:6:""備考"";s:0:"""";}",秋川キララホール指定管理者代表団体|株式会社コンベンションリンケージ,,,,,,
武蔵村山市民会館指定管理者　株式会社ケイミックスパブリックビジネス,4496,,2017,単日/複数日,20180310,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""220"";s:6:""備考"";s:0:"""";}",武蔵村山市民会館指定管理者|株式会社ケイミックスパブリックビジネス,,,,,,
"地域連携プログラム「表現（Hyogen）×松本一哉 ライブ」",4498,https://www.artscouncil-tokyo.jp/ja/events/24675/,2018,単日/複数日,20180214,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""19:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""34"";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|東京藝術大学音楽学部・大学院国際芸術創造研究科|特定非営利活動法人音まち計画|足立区,,,"足立区立千寿第八小学校|足立区立西新井第二小学校PTA|おかめひょっとこ元気連|ガーディ アンシップ北千住|千住関屋町町会|千住仲町会|千寿リーグ|タカラ湯|菜の花楽団|魚三商店|タコテ座|千住囃子連中|愛ちゃん|東武鉄道株式会社|仲町竹田",,,
音盤千住　レコ発企画「聴きめぐり千住！」,4499,https://www.artscouncil-tokyo.jp/ja/events/24695/,2018,単日/複数日,20180121,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:8:""18:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""106"";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|東京藝術大学音楽学部・大学院国際芸術創造研究科|特定非営利活動法人音まち計画|足立区,,,"足立区立千寿第八小学校|足立区立西新井第二小学校PTA|おかめひょっとこ元気連|ガーディ アンシップ北千住|千住関屋町町会|千住仲町会|千寿リーグ|タカラ湯|菜の花楽団|魚三商店|タコテ座|千住囃子連中|愛ちゃん|東武鉄道株式会社|仲町竹田|ミリオン通り商店街",,,
"今村俊博×池田 萠 第5 回パフォーマンス・デュオ公演 音楽のバウンダリー",4501,http://www.tokyoartsandspace.jp/archive/2016/09/os-a07.shtml,2016,期間,,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""19:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:25:""2017年1月21日（土）"";}i:1;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:26:""2017年1月22日（日） "";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",トーキョーワンダーサイト,,,,,20170121,20170122
