id,Title,決算額_year,決算額_price
1319,第14回東京音楽コンクール優勝者＆最高位入賞者コンサート,2016,
1365,モーニングコンサート,2016,
1456,"【特別展】「よみがえれ！ シーボルトの日本博物館」展",2016,
1477,TURN,,
1577,【特別展】「戦国時代」展,2016,
1581,【特別展】「江戸と北京-18世紀の都市と暮らし」展,2016,
1584,えどはくカルチャー,2016,
1638,伝統芸能フォーラム,2016,
1641,国際交流事業（第15回日中韓博物館国際シンポジウム）,2016,
1682,ふれあい体験教室,2016,
1742,Creator-in-Residence,2016,
1792,都民コンサート,2016,
1869,伝承のたまてばこ～多摩伝統文化フェスティバル～,,
2047,東京音楽コンクール入賞者支援リサイタル,2016,
2053,《響の森》コンサート,2016,
2074,芸術文化による社会支援助成,"2016,2017",","
2118,青少年のための演奏,2016,
2120,小規模演奏会,2016,
2126,"東京文化会館 バックステージツアー",2016,
2135,ティータイムコンサート,2016,
2160,島しょ芸術文化振興事業,2016,
2175,子供歌舞伎教室,2016,
2182,都民半額観劇会,2016,
2218,アール・ブリュット等の展覧会,2016,
2223,ヘブンアーティスト,2016,
2236,創遊・楽落らいぶ－音楽家と落語家のコラボレーション－,2016,
2272,ナイト・ミニ・コンサート,2016,
2280,ミュージック・プログラム・トーキョーMusic　EducationProgram「Workshop　Workshop!～国際連携企画～」,2016,
2296,上野「文化の杜」新構想,,
2355,【2017TWS】Creator-in-Residence,2017,
2357,"開館90周年記念フォーラム 創造と共生の場を求めて──美術館の歴史と未来",2016,
2359,"開館90周年記念 アーカイブズ資料展示 造形講座と東京都美術館",2016,
2362,【特別展】ティツィアーノとヴェネツィア派展,2016,
2364,"アール・デコ・リヴァイヴァル 建物公開 旧朝香宮邸物語","2017,2018",","
2365,アート・コミュニケーション事業,2016,
2395,ミュージアム・コンサート,2017,
2401,"【連携展】都美セレクション 新鋭美術家 2017",2016,
2429,"Shibuya StreetDance Week",,
2468,"TWS-Emerging 2017",2017,
2476,"【特別展】  ティツィアーノとヴェネツィア派展","2016,2017",","
2482,キッズ伝統芸能体験,2016,
2515,ミュージアムトーク,2016,
2516,"【特別展】  ボイマンス美術館所蔵 ブリューゲル「バベルの塔」展  16世紀ネーデルラントの至宝─ボスを超えて─",2017,
2542,神楽坂まち舞台・大江戸めぐり2017,,
